# shelf	signal	detail   (triage_09.py; feed: next_batch.py --s2-file)
S1287	c	item 43233 judged #11-15 does not fit the S run (cv 50090 count 12, gcd 83670 count 12)
S1287	c	item 43234 judged #16-20 does not fit the S run (cv 50090 count 12, gcd 83670 count 12)
S1287	c	item 43235 judged #21-25 does not fit the S run (cv 50090 count 12, gcd 83670 count 12)
S1287	c	item 43236 judged #26-30 does not fit the S run (cv 50090 count 12, gcd 83670 count 12)
S1287	c	item 43237 judged #31-35 does not fit the S run (cv 50090 count 12, gcd 83670 count 12)
S1287	c	item 43238 judged #36-40 does not fit the S run (cv 50090 count 12, gcd 83670 count 12)
S1287	c	item 43239 judged #41-45 does not fit the S run (cv 50090 count 12, gcd 83670 count 12)
S1287	c	item 43240 judged #46-50 does not fit the S run (cv 50090 count 12, gcd 83670 count 12)
S1287	c	item 43241 judged #51-55 does not fit the S run (cv 50090 count 12, gcd 83670 count 12)
S1287	c	item 43242 judged #56-60 does not fit the S run (cv 50090 count 12, gcd 83670 count 12)
S1294	e	36 files
S1309	b	5/5 per-file CV links name another volume (82340x5)
S1312	b	17/17 per-file CV links name another volume (26141x17)
S1337	c	item 43300 judged #6-10 does not fit the S run (cv 114107 count 3, gcd - count -)
S1337	c	item 43299 judged #1-5 does not fit the S run (cv 114107 count 3, gcd - count -)
S1352	c	item 43527 judged #25-29 does not fit the S run (cv 119794 count 25, gcd - count -)
S1361	c	item 43602 judged #5-9 does not fit the S run (cv 129852 count 4, gcd 230880 count 4)
S1361	c	item 43603 judged #10-14 does not fit the S run (cv 129852 count 4, gcd 230880 count 4)
S1373	f	1 shelf/shelves merged in after the wave that landed R-040 (2026-09-23): S103049
S1376	b	1/1 per-file CV links name another volume (62104x1)
S1531	a-I	cv 35544 named by 1 I line(s) on books of S95223
S1559	a-S	gcd 115042 is also the S of S1690
S1568	e	22 files
S1569	e	31 files
S1589	a-S	gcd 74603 is also the S of S1590
S1589	a-S	gcd 74603 is also the S of S1591
S1589	a-S	gcd 74603 is also the S of S1592
S1589	a-S	gcd 74603 is also the S of S1593
S1589	a-S	gcd 74603 is also the S of S1594
S1589	a-S	gcd 74603 is also the S of S1595
S1589	a-S	gcd 74603 is also the S of S1596
S1589	a-S	gcd 74603 is also the S of S1597
S1589	a-S	gcd 74603 is also the S of S1598
S1589	a-S	gcd 74603 is also the S of S1599
S1589	a-S	gcd 74603 is also the S of S1600
S1589	d	provider-disagrees item 53308
S1590	a-S	gcd 74603 is also the S of S1589
S1590	a-S	gcd 74603 is also the S of S1591
S1590	a-S	gcd 74603 is also the S of S1592
S1590	a-S	gcd 74603 is also the S of S1593
S1590	a-S	gcd 74603 is also the S of S1594
S1590	a-S	gcd 74603 is also the S of S1595
S1590	a-S	gcd 74603 is also the S of S1596
S1590	a-S	gcd 74603 is also the S of S1597
S1590	a-S	gcd 74603 is also the S of S1598
S1590	a-S	gcd 74603 is also the S of S1599
S1590	a-S	gcd 74603 is also the S of S1600
S1591	a-S	gcd 74603 is also the S of S1589
S1591	a-S	gcd 74603 is also the S of S1590
S1591	a-S	gcd 74603 is also the S of S1592
S1591	a-S	gcd 74603 is also the S of S1596
S1592	a-S	gcd 74603 is also the S of S1589
S1592	a-S	gcd 74603 is also the S of S1590
S1592	a-S	gcd 74603 is also the S of S1591
S1592	a-S	gcd 74603 is also the S of S1593
S1592	a-S	gcd 74603 is also the S of S1594
S1592	a-S	gcd 74603 is also the S of S1595
S1592	a-S	gcd 74603 is also the S of S1597
S1592	a-S	gcd 74603 is also the S of S1598
S1592	a-S	gcd 74603 is also the S of S1599
S1592	a-S	gcd 74603 is also the S of S1600
S1593	a-S	gcd 74603 is also the S of S1589
S1593	a-S	gcd 74603 is also the S of S1590
S1593	a-S	gcd 74603 is also the S of S1592
S1593	a-S	gcd 74603 is also the S of S1594
S1593	a-S	gcd 74603 is also the S of S1595
S1593	a-S	gcd 74603 is also the S of S1596
S1593	a-S	gcd 74603 is also the S of S1597
S1593	a-S	gcd 74603 is also the S of S1598
S1593	a-S	gcd 74603 is also the S of S1599
S1593	a-S	gcd 74603 is also the S of S1600
S1594	a-S	gcd 74603 is also the S of S1589
S1594	a-S	gcd 74603 is also the S of S1590
S1594	a-S	gcd 74603 is also the S of S1592
S1594	a-S	gcd 74603 is also the S of S1593
S1594	a-S	gcd 74603 is also the S of S1595
S1594	a-S	gcd 74603 is also the S of S1596
S1594	a-S	gcd 74603 is also the S of S1597
S1594	a-S	gcd 74603 is also the S of S1598
S1594	a-S	gcd 74603 is also the S of S1599
S1594	a-S	gcd 74603 is also the S of S1600
S1595	a-S	gcd 74603 is also the S of S1589
S1595	a-S	gcd 74603 is also the S of S1590
S1595	a-S	gcd 74603 is also the S of S1592
S1595	a-S	gcd 74603 is also the S of S1593
S1595	a-S	gcd 74603 is also the S of S1594
S1595	a-S	gcd 74603 is also the S of S1596
S1595	a-S	gcd 74603 is also the S of S1597
S1595	a-S	gcd 74603 is also the S of S1598
S1595	a-S	gcd 74603 is also the S of S1599
S1595	a-S	gcd 74603 is also the S of S1600
S1596	a-S	gcd 74603 is also the S of S1589
S1596	a-S	gcd 74603 is also the S of S1590
S1596	a-S	gcd 74603 is also the S of S1591
S1596	a-S	gcd 74603 is also the S of S1593
S1596	a-S	gcd 74603 is also the S of S1594
S1596	a-S	gcd 74603 is also the S of S1595
S1596	a-S	gcd 74603 is also the S of S1597
S1596	a-S	gcd 74603 is also the S of S1598
S1596	a-S	gcd 74603 is also the S of S1599
S1596	a-S	gcd 74603 is also the S of S1600
S1597	a-S	gcd 74603 is also the S of S1589
S1597	a-S	gcd 74603 is also the S of S1590
S1597	a-S	gcd 74603 is also the S of S1592
S1597	a-S	gcd 74603 is also the S of S1593
S1597	a-S	gcd 74603 is also the S of S1594
S1597	a-S	gcd 74603 is also the S of S1595
S1597	a-S	gcd 74603 is also the S of S1596
S1597	a-S	gcd 74603 is also the S of S1598
S1597	a-S	gcd 74603 is also the S of S1599
S1597	a-S	gcd 74603 is also the S of S1600
S1598	a-S	gcd 74603 is also the S of S1589
S1598	a-S	gcd 74603 is also the S of S1590
S1598	a-S	gcd 74603 is also the S of S1592
S1598	a-S	gcd 74603 is also the S of S1593
S1598	a-S	gcd 74603 is also the S of S1594
S1598	a-S	gcd 74603 is also the S of S1595
S1598	a-S	gcd 74603 is also the S of S1596
S1598	a-S	gcd 74603 is also the S of S1597
S1598	a-S	gcd 74603 is also the S of S1599
S1598	a-S	gcd 74603 is also the S of S1600
S1599	a-S	gcd 74603 is also the S of S1589
S1599	a-S	gcd 74603 is also the S of S1590
S1599	a-S	gcd 74603 is also the S of S1592
S1599	a-S	gcd 74603 is also the S of S1593
S1599	a-S	gcd 74603 is also the S of S1594
S1599	a-S	gcd 74603 is also the S of S1595
S1599	a-S	gcd 74603 is also the S of S1596
S1599	a-S	gcd 74603 is also the S of S1597
S1599	a-S	gcd 74603 is also the S of S1598
S1599	a-S	gcd 74603 is also the S of S1600
S1600	a-S	gcd 74603 is also the S of S1589
S1600	a-S	gcd 74603 is also the S of S1590
S1600	a-S	gcd 74603 is also the S of S1592
S1600	a-S	gcd 74603 is also the S of S1593
S1600	a-S	gcd 74603 is also the S of S1594
S1600	a-S	gcd 74603 is also the S of S1595
S1600	a-S	gcd 74603 is also the S of S1596
S1600	a-S	gcd 74603 is also the S of S1597
S1600	a-S	gcd 74603 is also the S of S1598
S1600	a-S	gcd 74603 is also the S of S1599
S1605	a-C	cv 142067 named by 1 C line(s) on books of S1604
S1626	e	63 files
S1627	e	65 files
S1629	a-C	cv 18494 named by 2 C line(s) on books of S1632
S1629	a-C	gcd 3830 named by 2 C line(s) on books of S1632
S1629	e	78 files
S1632	a-S	gcd 130433 is also the S of S1633
S1632	a-S	gcd 130433 is also the S of S1635
S1632	a-S	gcd 130433 is also the S of S1636
S1633	a-S	gcd 130433 is also the S of S1632
S1633	a-S	gcd 130433 is also the S of S1634
S1634	a-S	gcd 130433 is also the S of S1633
S1634	a-S	gcd 130433 is also the S of S1635
S1634	a-S	gcd 130433 is also the S of S1636
S1634	d	label-ambiguous item 53960
S1635	a-S	gcd 130433 is also the S of S1632
S1635	a-S	gcd 130433 is also the S of S1634
S1635	a-S	gcd 130433 is also the S of S1636
S1636	a-S	gcd 130433 is also the S of S1632
S1636	a-S	gcd 130433 is also the S of S1634
S1636	a-S	gcd 130433 is also the S of S1635
S1649	b	8/8 per-file CV links name another volume (114043x5, 150431x1, 144093x1)
S1657	c	item 117983 RANGE CONTRADICTED by GCD notes (count): judged #0-12, GCD says the digital comics Avengers vs. X-Men: Infinite (2012) #1, #6
S1677	a-I	cv 32342 named by 1 I line(s) on books of S95223
S1689	d	label-ambiguous item 118076
S1690	a-S	gcd 115042 is also the S of S1559
S1711	e	90 files
S1712	b	1/1 per-file CV links name another volume (145481x1)
S1715	e	26 files
S1728	e	34 files
S1743	b	4/4 per-file CV links name another volume (139299x3, 158524x1)
S1816	e	37 files
S1839	a-S	gcd 175880 is also the S of S1843
S1854	b	1/1 per-file CV links name another volume (138684x1)
S1868	e	64 files
S1886	d	provider-disagrees item 61678
S1886	e	114 files
S1901	b	7/7 per-file CV links name another volume (40090x7)
S1902	d	provider-disagrees item 61690
S1902	e	42 files
S1955	b	2/2 per-file CV links name another volume (38208x2)
S1970	d	label-ambiguous item 62755
S1979	b	1/1 per-file CV links name another volume (44947x1)
S1990	a-C	cv 145157 named by 1 C line(s) on books of S36404
S1990	a-I	cv 145157 named by 1 I line(s) on books of S36404
S1990	a-C	gcd 189456 named by 1 C line(s) on books of S36404
S1990	a-I	gcd 189456 named by 1 I line(s) on books of S36404
S2012	b	1/1 per-file CV links name another volume (93180x1)
S2017	e	24 files
S2018	e	53 files
S2021	d	label-ambiguous item 62199
S2021	e	27 files
S2028	e	55 files
S2042	e	46 files
S2052	d	provider-disagrees item 62434
S2060	a-I	gcd 214154 named by 1 I line(s) on books of S94555
S2095	a-I	cv 168733 named by 1 I line(s) on books of S94865
S2095	a-I	gcd 215499 named by 1 I line(s) on books of S94865
S2099	e	55 files
S2139	a-S	gcd 60920 is also the S of S94554
S2139	b	41/41 per-file CV links name another volume (26584x41)
S2139	e	42 files
S2148	b	1/1 per-file CV links name another volume (160387x1)
S2165	d	label-ambiguous item 62869
S2167	f	3 shelf/shelves merged in after the wave that landed B-008 (2026-09-10): S2168, S2169, S2170
S2173	a-C	cv 93375 named by 1 C line(s) on books of S5274
S2173	a-C	gcd 105634 named by 1 C line(s) on books of S5274
S2173	d	provider-disagrees item 64322
S2197	b	1/1 per-file CV links name another volume (140252x1)
S2200	e	78 files
S2205	b	2/2 per-file CV links name another volume (9367x2)
S2226	a-I	cv 150502 named by 2 I line(s) on books of S94865
S2226	a-I	gcd 203114 named by 4 I line(s) on books of S94865
S2235	e	21 files
S2256	d	provider-disagrees item 62184
S2256	e	58 files
S2267	b	1/1 per-file CV links name another volume (18734x1)
S2288	d	label-ambiguous item 61401
S2306	c	item 40655 judged #30-35 does not fit the S run (cv 101680 count 9, gcd - count -)
S2306	c	item 40656 judged #36-41 does not fit the S run (cv 101680 count 9, gcd - count -)
S2306	c	item 40657 judged #42-47 does not fit the S run (cv 101680 count 9, gcd - count -)
S2308	c	item 40660 judged #19-37 does not fit the S run (cv 27342 count 19, gcd 79125 count 5)
S2308	c	item 40661 judged #38-55 does not fit the S run (cv 27342 count 19, gcd 79125 count 5)
S2308	c	item 40662 judged #56-74 does not fit the S run (cv 27342 count 19, gcd 79125 count 5)
S2308	c	item 40663 judged #75-93 does not fit the S run (cv 27342 count 19, gcd 79125 count 5)
S2308	c	item 40667 judged #116-124 does not fit the S run (cv 27342 count 19, gcd 79125 count 5)
S2308	c	item 40665 judged #100-105 does not fit the S run (cv 27342 count 19, gcd 79125 count 5)
S2308	c	item 40666 judged #106-115 does not fit the S run (cv 27342 count 19, gcd 79125 count 5)
S2308	c	item 40664 judged #94-99 does not fit the S run (cv 27342 count 19, gcd 79125 count 5)
S2357	e	21 files
S2359	e	26 files
S2374	c	item 43679 judged #8-16 does not fit the S run (cv 121130 count 3, gcd 151730 count 3)
S2374	c	item 43680 judged #17-27 does not fit the S run (cv 121130 count 3, gcd 151730 count 3)
S2374	c	item 43678 judged #1-7 does not fit the S run (cv 121130 count 3, gcd 151730 count 3)
S2404	b	1/1 per-file CV links name another volume (51266x1)
S2413	b	3/3 per-file CV links name another volume (162015x3)
S2441	b	1/1 per-file CV links name another volume (113211x1)
S2506	b	1/1 per-file CV links name another volume (68908x1)
S2510	b	4/4 per-file CV links name another volume (18221x4)
S2540	b	1/1 per-file CV links name another volume (45525x1)
S2564	b	6/6 per-file CV links name another volume (125495x6)
S2607	a-I	cv 18996 named by 1 I line(s) on books of S2613
S2613	a-C	gcd 6991 named by 1 C line(s) on books of S65356
S2613	e	131 files
S2622	c	item 32796 RANGE CONTRADICTED by GCD notes (multi): judged #1-5, GCD says Birthright (Image)(2014) #1; through #5
S2622	d	duplicate-edition item 32801
S2622	d	label-ambiguous item 32801
S2644	b	1/1 per-file CV links name another volume (39837x1)
S2741	b	2/2 per-file CV links name another volume (11502x2)
S2741	f	1 shelf/shelves merged in after the wave that landed R-045 (2026-09-23): S103532
S2755	a-S	gcd 108630 is also the S of S2756
S2756	a-S	gcd 108630 is also the S of S2755
S2772	a-I	gcd 103773 named by 1 I line(s) on books of S95617
S2828	a-C	cv 30162 named by 2 C line(s) on books of S18600
S2828	a-C	gcd 39990 named by 2 C line(s) on books of S18600
S2836	a-C	cv 30163 named by 2 C line(s) on books of S101470
S2836	a-C	gcd 39991 named by 2 C line(s) on books of S101470
S2839	b	6/6 per-file CV links name another volume (106195x6)
S2839	d	label-ambiguous item 109081
S2862	d	label-ambiguous item 111858
S2865	a-C	cv 146794 named by 2 C line(s) on books of S2862
S2865	a-C	gcd 193782 named by 2 C line(s) on books of S2862
S2923	b	1/1 per-file CV links name another volume (20840x1)
S2934	e	25 files
S2951	c	item 43076 judged #16-24 does not fit the S run (cv 125341 count 17, gcd 171046 count 13)
S2951	c	item 43089 judged #137-145 does not fit the S run (cv 125341 count 17, gcd 171046 count 13)
S2951	c	item 43090 judged #146-153 does not fit the S run (cv 125341 count 17, gcd 171046 count 13)
S2951	c	item 43086 judged #109-117 does not fit the S run (cv 125341 count 17, gcd 171046 count 13)
S2951	c	item 43087 judged #118-127 does not fit the S run (cv 125341 count 17, gcd 171046 count 13)
S2951	c	item 43088 judged #128-136 does not fit the S run (cv 125341 count 17, gcd 171046 count 13)
S2951	c	item 43081 judged #60-68 does not fit the S run (cv 125341 count 17, gcd 171046 count 13)
S2951	c	item 43082 judged #69-78 does not fit the S run (cv 125341 count 17, gcd 171046 count 13)
S2951	c	item 43083 judged #79-88 does not fit the S run (cv 125341 count 17, gcd 171046 count 13)
S2951	c	item 43084 judged #89-98 does not fit the S run (cv 125341 count 17, gcd 171046 count 13)
S2951	c	item 43085 judged #99-108 does not fit the S run (cv 125341 count 17, gcd 171046 count 13)
S2951	c	item 43077 judged #25-33 does not fit the S run (cv 125341 count 17, gcd 171046 count 13)
S2951	c	item 43078 judged #34-41 does not fit the S run (cv 125341 count 17, gcd 171046 count 13)
S2951	c	item 43079 judged #42-50 does not fit the S run (cv 125341 count 17, gcd 171046 count 13)
S2951	c	item 43080 judged #51-59 does not fit the S run (cv 125341 count 17, gcd 171046 count 13)
S2970	d	duplicate-edition item 110803
S2988	e	34 files
S3018	e	32 files
S3028	d	label-ambiguous item 35856
S3034	c	item 44119 judged #17-21 does not fit the S run (cv 113349 count 18, gcd 165172 count 17)
S3034	c	item 44126 judged #48-52 does not fit the S run (cv 113349 count 18, gcd 165172 count 17)
S3034	c	item 44127 judged #53-56 does not fit the S run (cv 113349 count 18, gcd 165172 count 17)
S3034	c	item 44120 judged #22-25 does not fit the S run (cv 113349 count 18, gcd 165172 count 17)
S3034	c	item 44121 judged #26-29 does not fit the S run (cv 113349 count 18, gcd 165172 count 17)
S3034	c	item 44122 judged #30-33 does not fit the S run (cv 113349 count 18, gcd 165172 count 17)
S3034	c	item 44123 judged #34-38 does not fit the S run (cv 113349 count 18, gcd 165172 count 17)
S3034	c	item 44124 judged #39-42 does not fit the S run (cv 113349 count 18, gcd 165172 count 17)
S3034	c	item 44125 judged #43-47 does not fit the S run (cv 113349 count 18, gcd 165172 count 17)
S3042	a-S	gcd 90511 is also the S of S95841
S3042	b	1/1 per-file CV links name another volume (76631x1)
S3050	b	1/1 per-file CV links name another volume (43981x1)
S3052	c	item 44163 judged #7-12 does not fit the S run (cv 38799 count 11, gcd 45795 count 11)
S3052	c	item 44164 judged #13-18 does not fit the S run (cv 38799 count 11, gcd 45795 count 11)
S3052	c	item 44165 judged #19-23 does not fit the S run (cv 38799 count 11, gcd 45795 count 11)
S3052	c	item 44166 judged #24-29 does not fit the S run (cv 38799 count 11, gcd 45795 count 11)
S3052	c	item 44167 judged #30-35 does not fit the S run (cv 38799 count 11, gcd 45795 count 11)
S3052	c	item 44168 judged #36-41 does not fit the S run (cv 38799 count 11, gcd 45795 count 11)
S3052	c	item 44169 judged #42-47 does not fit the S run (cv 38799 count 11, gcd 45795 count 11)
S3052	c	item 44170 judged #48-53 does not fit the S run (cv 38799 count 11, gcd 45795 count 11)
S3052	c	item 44171 judged #54-59 does not fit the S run (cv 38799 count 11, gcd 45795 count 11)
S3052	c	item 44172 judged #60-65 does not fit the S run (cv 38799 count 11, gcd 45795 count 11)
S3058	b	1/1 per-file CV links name another volume (44333x1)
S3064	e	35 files
S3066	b	1/1 per-file CV links name another volume (42089x1)
S3085	e	55 files
S3225	b	1/1 per-file CV links name another volume (28241x1)
S3246	e	77 files
S3297	d	label-ambiguous item 11473
S3300	c	item 42189 judged #13-25 does not fit the S run (cv 109423 count 13, gcd 123267 count 10)
S3300	c	item 42200 judged #168-186 does not fit the S run (cv 109423 count 13, gcd 123267 count 10)
S3300	c	item 42197 judged #122-136 does not fit the S run (cv 109423 count 13, gcd 123267 count 10)
S3300	c	item 42198 judged #137-152 does not fit the S run (cv 109423 count 13, gcd 123267 count 10)
S3300	c	item 42199 judged #153-167 does not fit the S run (cv 109423 count 13, gcd 123267 count 10)
S3300	c	item 42194 judged #80-93 does not fit the S run (cv 109423 count 13, gcd 123267 count 10)
S3300	c	item 42195 judged #94-107 does not fit the S run (cv 109423 count 13, gcd 123267 count 10)
S3300	c	item 42196 judged #108-121 does not fit the S run (cv 109423 count 13, gcd 123267 count 10)
S3300	c	item 42192 judged #54-66 does not fit the S run (cv 109423 count 13, gcd 123267 count 10)
S3300	c	item 42193 judged #67-79 does not fit the S run (cv 109423 count 13, gcd 123267 count 10)
S3300	c	item 42190 judged #26-39 does not fit the S run (cv 109423 count 13, gcd 123267 count 10)
S3300	c	item 42191 judged #40-53 does not fit the S run (cv 109423 count 13, gcd 123267 count 10)
S3303	e	26 files
S3306	d	label-ambiguous item 98573
S3306	e	95 files
S3365	b	1/1 per-file CV links name another volume (19975x1)
S3370	c	item 43107 judged #10-12 does not fit the S run (cv 111020 count 10, gcd - count -)
S3370	c	item 43110 judged #20-23 does not fit the S run (cv 111020 count 10, gcd - count -)
S3370	c	item 43111 judged #24-27 does not fit the S run (cv 111020 count 10, gcd - count -)
S3370	c	item 43112 judged #28-31 does not fit the S run (cv 111020 count 10, gcd - count -)
S3370	c	item 43113 judged #32-35 does not fit the S run (cv 111020 count 10, gcd - count -)
S3370	c	item 43108 judged #13-15 does not fit the S run (cv 111020 count 10, gcd - count -)
S3370	c	item 43109 judged #16-19 does not fit the S run (cv 111020 count 10, gcd - count -)
S3403	c	item 77277 judged #695-700 does not fit the S run (cv 111409 count 1, gcd 125726 count 1)
S3406	b	4/4 per-file CV links name another volume (36229x4)
S3419	d	duplicate-edition item 118884
S3419	d	duplicate-edition item 118885
S3419	d	label-ambiguous item 118884
S3419	e	26 files
S3420	b	7/7 per-file CV links name another volume (19381x7)
S3450	e	49 files
S3453	a-S	gcd 79135 is also the S of S3457
S3453	a-S	gcd 79135 is also the S of S3460
S3453	a-S	gcd 79135 is also the S of S3461
S3454	a-S	gcd 79135 is also the S of S3455
S3454	a-S	gcd 79135 is also the S of S3456
S3454	a-S	gcd 79135 is also the S of S3457
S3454	a-S	gcd 79135 is also the S of S3458
S3454	a-S	gcd 79135 is also the S of S3459
S3454	a-S	gcd 79135 is also the S of S3460
S3454	a-S	gcd 79135 is also the S of S3461
S3454	a-S	gcd 79135 is also the S of S3462
S3454	a-S	gcd 79135 is also the S of S3463
S3455	a-S	gcd 79135 is also the S of S3454
