# shelf	signal	detail   (s2_open.py: every winning 0.7 and R; feed: next_batch.py --s2-file)
S2642	R	C-023: R, F needs-web, wrong-cv-link
S2845	R	D-003: R, F provider-missing
S2860	R	D-015: R, F provider-missing
S2910	R	D-006: R, F provider-missing
S2925	R	C-060: R
S2983	R	D-013: R, F provider-missing
S2996	R	D-019: R, F provider-missing
S3002	R	D-008: R, F provider-missing
S3028	R	C-030: R, F duplicate-shelf
S3107	R	D-015: R, F provider-missing
S3131	R	D-002: R, F provider-missing
S3145	R	B-032: R, F provider-missing, wrong-cv-link
S3202	R	D-009: R, F provider-missing
S3217	R	D-002: R, F provider-missing
S3243	07	D-012: S 0.7, F provider-missing
S3347	R	B-028: R, F needs-web, wrong-cv-link
S3366	R	D-008: R, F provider-missing
S3375	R	D-008: R, F provider-missing
S3535	07	C-062: S 0.7, F provider-missing
S3566	R	C-064: R
S3628	R	D-005: R, F provider-missing
S3643	R	D-017: R, F provider-missing
S3727	R	D-009: R, F misfiled
S3789	R	D-006: R, F provider-missing
S3857	R	C-058: R
S4017	R	D-015: R, F provider-missing
S4037	R	D-015: R, F provider-missing
S4051	R	D-006: R, F provider-missing
S4057	R	D-006: R, F provider-missing
S4148	R	D-006: R, F provider-missing
S4156	R	B-065: R, F provider-missing
S4159	R	D-006: R, F provider-missing
S4225	R	D-017: R, F provider-missing
S4234	07	D-015: S 0.7, F provider-missing
S4285	R	D-009: R, F provider-missing
S4304	R	D-015: R, F provider-missing
S4329	R	D-006: R, F provider-missing
S4715	R	D-008: R, F provider-missing
S4762	07	C-030: S 0.7
S4802	07	A-023: S 0.7, F provider-missing
S4855	07	C-017: S 0.7, F wrong-cv-link
S4968	R	D-008: R, F provider-missing
S5005	R	D-015: R, F provider-missing
S5215	R	D-017: R, F provider-missing
S5286	R	D-006: R, F provider-missing
S5371	R	D-013: R, F provider-missing
S5375	07	C-061: S 0.7, F provider-missing
S5376	R	B-070: R, F provider-missing, wrong-cv-link
S5441	07	B-032: S 0.7, F needs-web
S5462	07	B-065: S 0.7
S5500	R	D-004: R, F provider-missing
S5670	07	C-061: S 0.7, F provider-missing
S5722	R	D-009: R, F provider-missing
S5761	R	B-070: R, F provider-missing
S5782	R	D-011: R, F provider-missing
S5881	R	D-006: R, F provider-missing
S5909	R	C-058: R
S5916	R	D-011: R, F provider-missing
S5953	R	D-015: R, F provider-missing
S5990	R	D-016: R, F provider-missing
S6140	R	D-008: R, F provider-missing
S6188	07	D-015: S 0.7, F provider-missing
S6208	R	D-008: R, F provider-missing
S6225	07	C-061: S 0.7, F provider-missing
S6265	R	D-015: R, F provider-missing
S6306	07	C-030: S 0.7, F needs-fetch
S6322	R	C-060: R
S6323	R	R-067: R, F provider-missing
S6343	07	C-030: S 0.7, F needs-fetch
S6356	R	C-065: R, F provider-missing
S6369	R	D-017: R, F provider-missing
S6440	R	D-013: R, F provider-missing
S6449	R	C-025: R, F provider-missing
S6450	R	D-005: R, F provider-missing
S6482	07	C-057: S 0.7, F needs-web
S6549	R	D-006: R, F provider-missing
S6684	07	C-022: S 0.7, F provider-missing
S6693	R	D-008: R, F provider-missing
S6695	R	D-009: R, F provider-missing
S6699	R	B-001: R, F needs-web
S6746	R	D-009: R, F provider-missing
S6757	R	D-008: R, F provider-missing
S6772	R	R-044: R, F provider-missing
S6776	R	D-017: R, F provider-missing
S6836	07	D-006: S 0.7, F merge-with
S6839	07	B-048: S 0.7
S6840	R	D-006: R, F provider-missing
S6891	07	C-030: S 0.7
S6900	R	D-009: R, F provider-missing
S6902	R	D-018: R, F provider-missing
S6935	R	D-016: R, F provider-missing
S6972	R	D-005: R, F provider-missing
S6973	R	D-006: R, F provider-missing
S7019	R	C-022: R, F misfiled
S7022	R	D-008: R, F provider-missing
S7024	R	D-012: R, F provider-missing
S7028	07	B-020: S 0.7, F needs-web
S7042	07	A-001: S 0.7
S7051	R	D-006: R, F provider-missing
S7088	R	D-012: R, F provider-missing
S7098	R	C-028: R, F merge-with
S7111	R	C-028: R, F needs-web
S7120	R	B-035: R, F needs-web, wrong-cv-link
S7146	R	D-006: R, F provider-missing
S7152	R	D-007: R, F provider-missing
S7189	R	D-006: R, F provider-missing
S7191	R	R-047: R, F provider-missing
S7214	R	B-070: R, F provider-missing, wrong-cv-link
S7240	R	B-070: R, F provider-missing, wrong-cv-link
S7290	R	D-007: R, F provider-missing
S7291	R	D-001: R, F provider-missing
S7305	R	C-063: R, F provider-missing
S7365	R	C-029: R
S7382	R	R-047: R, F provider-missing
S7401	R	D-009: R, F provider-missing
S7402	R	D-009: R, F provider-missing
S7403	R	D-009: R, F provider-missing
S7404	R	D-009: R, F provider-missing
S7406	R	D-009: R, F provider-missing
S7408	R	R-058: R, F provider-missing
S7468	R	B-048: R
S7500	R	D-009: R, F provider-missing
S7538	07	C-036: S 0.7, F wrong-cv-link
S7698	R	D-006: R, F provider-missing
S7776	R	D-008: R, F provider-missing
S7801	R	B-063: R, F wrong-cv-link
S7847	R	D-008: R, F provider-missing
S7858	R	D-004: R, F provider-missing
S7861	R	D-006: R, F provider-missing
S7862	R	D-006: R, F provider-missing
S8041	R	D-020: R, F provider-missing
S8103	R	D-017: R, F provider-missing
S8119	R	D-002: R, F provider-missing
S8184	R	C-058: R
S8187	R	D-015: R, F provider-missing
S8226	R	D-004: R, F provider-missing
S8242	07	D-005: S 0.7, F provider-missing
S8285	R	D-003: R, F provider-missing
S8301	R	R-067: R, F provider-missing
S8349	R	C-014: R, F provider-missing
S8371	R	D-003: R, F provider-missing
S8402	R	C-026: R, F provider-missing
S8405	R	D-014: R, F provider-missing
S8406	R	D-014: R, F provider-missing
S8407	R	D-014: R, F provider-missing
S8408	R	D-015: R, F provider-missing
S8409	R	D-015: R, F provider-missing
S8410	R	D-015: R, F provider-missing
S8411	R	D-015: R, F provider-missing
S8412	R	D-015: R, F provider-missing
S8413	R	D-015: R, F provider-missing
S8414	R	D-015: R, F provider-missing
S8415	R	D-015: R, F provider-missing
S8416	R	D-015: R, F provider-missing
S8417	R	D-015: R, F provider-missing
S8418	R	D-015: R, F provider-missing
S8419	R	D-015: R, F provider-missing
S8420	R	B-063: R, F wrong-cv-link
S8482	07	C-031: S 0.7, F provider-missing
S8505	R	C-063: R, F provider-missing
S8507	R	D-019: R, F provider-missing
S8534	07	D-009: S 0.7, F provider-missing
S8702	R	D-009: R, F provider-missing
S8714	07	D-010: S 0.7, F provider-missing
S8726	R	C-060: R
S8832	07	B-063: S 0.7
S8973	R	C-060: R
S8980	R	D-013: R, F provider-missing
S9002	R	D-006: R, F provider-missing
S9038	R	D-008: R, F provider-missing
S9039	R	D-016: R, F provider-missing
S9044	R	D-008: R, F provider-missing
S9069	R	C-058: R
S9127	R	D-013: R, F provider-missing
S9137	R	D-007: R, F provider-missing
S9141	R	D-006: R, F provider-missing
S9208	R	D-007: R, F provider-missing
S9242	R	D-006: R, F provider-missing
S9252	R	D-015: R, F provider-missing
S9278	R	D-009: R, F provider-missing
S9296	R	D-017: R, F provider-missing
S9406	R	D-006: R, F provider-missing
S9459	R	D-017: R, F provider-missing
S9494	R	D-008: R, F provider-missing
S9499	R	D-012: R, F provider-missing
S9538	R	B-040: R
S9555	R	D-011: R, F provider-missing
S9663	R	D-013: R, F provider-missing
S9686	R	D-019: R, F provider-missing
S9689	R	D-019: R, F provider-missing
S9691	R	D-013: R, F provider-missing
S9703	07	D-006: S 0.7, F provider-missing
S9890	R	C-058: R
S9906	R	D-014: R, F provider-missing
S9934	R	D-005: R, F provider-missing
S9951	R	D-012: R, F provider-missing
S9966	R	C-020: R, F needs-web, wrong-cv-link
S9992	R	C-022: R, F duplicate-shelf
S10015	R	D-001: R, F provider-missing
S10089	R	C-058: R
S10158	07	A-011: S 0.7, F wrong-cv-link
S10182	R	D-003: R, F provider-missing
S10294	R	D-001: R, F provider-missing
S10306	R	D-019: R, F provider-missing
S10316	R	C-029: R, F needs-web
S10367	R	D-006: R, F provider-missing
S10406	07	C-034: S 0.7
S10410	07	D-012: S 0.7, F merge-with
S10411	07	D-012: S 0.7, F merge-with
S10426	R	D-014: R, F provider-missing
S10427	R	C-026: R, F provider-missing
S10458	R	D-015: R, F provider-missing
S10535	R	D-017: R, F provider-missing
S10569	07	D-013: S 0.7, F provider-missing
S10581	R	D-006: R, F provider-missing
S10598	R	D-006: R, F provider-missing
S10614	R	D-008: R, F provider-missing
S10641	07	B-063: S 0.7
S10643	R	D-019: R, F provider-missing
S10648	R	D-013: R, F provider-missing
S10691	07	C-015: S 0.7, F needs-web, wrong-cv-link
S10702	R	D-002: R, F provider-missing
S10703	R	D-002: R, F provider-missing
S10762	R	D-016: R, F provider-missing
S10784	R	D-004: R, F provider-missing
S10786	R	D-007: R, F provider-missing
S10806	R	D-013: R, F provider-missing
S10845	R	C-029: R, F wrong-cv-link
S10912	07	D-001: S 0.7
S10917	R	D-017: R, F provider-missing
S10926	R	D-006: R, F provider-missing
S10968	R	D-007: R, F provider-missing
S10988	R	D-005: R, F provider-missing
S10996	R	D-017: R, F provider-missing
S11024	R	D-015: R, F provider-missing
S11043	R	D-013: R, F provider-missing
S11049	R	D-017: R, F provider-missing
S11058	07	B-034: S 0.7, F needs-web
S11079	R	D-008: R, F provider-missing
S11104	R	D-012: R, F mobile-rip, provider-missing
S11105	R	D-012: R, F provider-missing
S11167	R	D-011: R, F provider-missing
S11301	R	C-063: R, F provider-missing
S11351	R	R-043: R, F provider-missing
S11388	R	B-054: R, F needs-web, wrong-cv-link
S11405	07	C-039: S 0.7, F needs-web
S11663	R	R-067: R, F provider-missing
S11705	R	R-069: R, F provider-missing
S11787	R	D-002: R, F provider-missing
S11827	R	D-002: R, F provider-missing
S11840	R	R-063: R, F provider-missing
S11847	R	B-029: R, F provider-missing, wrong-cv-link
S11848	R	D-017: R, F provider-missing
S11915	R	D-008: R, F provider-missing
S11950	07	D-011: S 0.7
S11954	R	D-011: R, F provider-missing
S12071	R	D-016: R, F provider-missing
S12079	R	A-020: R, F provider-missing, wrong-cv-link
S12099	R	D-008: R, F provider-missing
S12125	07	D-007: S 0.7, F provider-missing
S12126	R	D-007: R, F provider-missing
S12129	07	D-007: S 0.7, F merge-with, provider-missing
S12134	R	D-007: R, F provider-missing
S12151	07	D-007: S 0.7, F provider-missing
S12160	07	D-008: S 0.7, F provider-missing
S12210	R	D-016: R, F provider-missing
S12240	R	D-012: R, F provider-missing
S12275	07	D-015: S 0.7, F provider-missing
S12281	R	D-013: R, F provider-missing
S12294	07	C-034: S 0.7, F misfiled, needs-fetch
S12301	R	D-013: R, F provider-missing
S12400	R	D-005: R, F provider-missing
S12414	R	D-008: R, F provider-missing
S12423	R	C-060: R
S12425	R	D-016: R, F provider-missing
S12433	07	C-048: S 0.7
S12481	R	B-032: R, F provider-missing, wrong-cv-link
S12511	R	D-017: R, F provider-missing
S12528	R	D-012: R, F provider-missing
S12671	R	C-060: R
S12713	R	D-007: R, F provider-missing
S12729	R	D-014: R, F provider-missing
S12736	R	D-013: R, F provider-missing
S12769	07	A-028: S 0.7, F partial-rip
S12772	R	D-001: R, F provider-missing
S12788	R	D-007: R, F provider-missing
S12887	07	C-039: S 0.7, F merge-with, needs-web, wrong-cv-link
S12888	R	D-009: R, F provider-missing
S12929	R	D-008: R, F provider-missing
S12932	R	D-007: R, F provider-missing
S12935	R	D-016: R, F provider-missing
S12946	R	C-031: R, F provider-missing
S12978	R	D-002: R, F provider-missing
S13001	07	C-034: S 0.7, F provider-missing
S13025	07	D-013: S 0.7
S13118	R	D-016: R, F provider-missing
S13149	R	D-006: R, F provider-missing
S13158	R	D-013: R, F provider-missing
S13162	R	D-017: R, F provider-missing
S13165	R	D-019: R, F provider-missing
S13210	R	D-019: R, F provider-missing
S13227	R	D-007: R, F provider-missing
S13245	R	C-034: R, F needs-web
S13468	R	D-019: R, F provider-missing
S13502	R	R-065: R, F provider-missing
S13535	07	C-034: S 0.7
S13539	07	C-029: S 0.7
S13558	R	D-009: R, F provider-missing
S13587	R	D-017: R, F provider-missing
S13641	R	D-019: R, F provider-missing
S13642	R	D-019: R, F provider-missing
S13647	R	D-019: R, F provider-missing
S13648	R	D-019: R, F provider-missing
S13649	R	D-019: R, F provider-missing
S13651	R	D-019: R, F provider-missing
S13652	R	D-019: R, F provider-missing
S13654	R	D-019: R, F provider-missing
S13662	R	D-019: R, F provider-missing
S13663	R	D-019: R, F provider-missing
S13664	R	D-019: R, F provider-missing
S13665	R	B-070: R, F provider-missing, wrong-cv-link
S13667	R	D-019: R, F provider-missing
S13668	R	D-019: R, F provider-missing
S13675	07	D-002: S 0.7
S13676	R	D-019: R, F provider-missing
S13677	R	D-019: R, F provider-missing
S13678	R	D-019: R, F provider-missing
S13679	R	D-019: R, F provider-missing
S13680	R	D-019: R, F provider-missing
S13681	R	D-019: R, F provider-missing
S13682	R	D-019: R, F provider-missing
S13683	R	D-019: R, F provider-missing
S13684	R	D-019: R, F provider-missing
S13686	R	D-019: R, F provider-missing
S13687	R	D-019: R, F provider-missing
S13688	R	D-019: R, F provider-missing
S13689	R	D-019: R, F provider-missing
S13690	R	D-019: R, F provider-missing
S13691	R	D-019: R, F provider-missing
S13692	R	D-019: R, F provider-missing
S13693	R	D-019: R, F provider-missing
S13694	R	D-019: R, F provider-missing
S13695	R	D-019: R, F provider-missing
S13696	R	D-019: R, F provider-missing
S13697	R	D-019: R, F provider-missing
S13698	R	D-019: R, F provider-missing
S13699	R	D-019: R, F provider-missing
S13700	R	D-019: R, F provider-missing
S13701	R	D-019: R, F provider-missing
S13702	R	D-019: R, F provider-missing
S13703	R	D-019: R, F provider-missing
S13704	R	D-019: R, F provider-missing
S13705	R	D-019: R, F provider-missing
S13706	R	D-020: R, F provider-missing
S13707	R	D-020: R, F provider-missing
S13708	R	D-020: R, F provider-missing
S13709	R	D-020: R, F provider-missing
S13710	R	D-020: R, F provider-missing
S13711	R	D-020: R, F provider-missing
S13712	R	D-020: R, F provider-missing
S13713	R	D-020: R, F provider-missing
S13714	R	D-020: R, F provider-missing
S13715	R	D-020: R, F provider-missing
S13716	R	D-020: R, F provider-missing
S13717	R	D-020: R, F provider-missing
S13718	R	D-020: R, F provider-missing
S13719	R	D-020: R, F provider-missing
S13720	R	D-020: R, F provider-missing
S13721	R	D-020: R, F provider-missing
S13722	R	D-020: R, F provider-missing
S13723	R	D-020: R, F provider-missing
S13724	R	D-020: R, F provider-missing
S13745	R	C-063: R, F provider-missing
S13757	R	D-009: R, F provider-missing
S13773	07	D-005: S 0.7, F provider-missing
S13815	R	D-016: R, F provider-missing
S13819	R	D-007: R, F provider-missing
S13823	07	A-014: S 0.7, F wrong-cv-link
S13826	R	D-017: R, F provider-missing
S13841	R	D-007: R, F provider-missing
S13870	R	D-002: R, F provider-missing
S13895	R	C-016: R, F needs-web, wrong-cv-link
S13903	07	B-030: S 0.7, F provider-missing
S13934	07	C-022: S 0.7, F wrong-cv-link
S13940	R	D-007: R, F provider-missing
S13949	R	R-044: R, F provider-missing, wrong-cv-link
S13959	R	D-019: R, F provider-missing
S13969	R	C-025: R, F misfiled
S14091	07	C-063: S 0.7, F needs-fetch, provider-missing
S14106	R	D-009: R, F provider-missing
S14115	R	D-005: R, F provider-missing
S14175	R	B-065: R, F provider-missing
S14232	R	D-009: R, F provider-missing
S14252	R	D-017: R, F provider-missing
S14256	R	B-021: R, F wrong-cv-link
S14304	R	D-016: R, F provider-missing
S14305	R	D-016: R, F provider-missing
S14315	07	D-002: S 0.7, F merge-with, partial-rip
S14348	R	D-017: R, F provider-missing
S14367	R	D-009: R, F provider-missing
S14410	07	B-002: S 0.7
S14467	R	D-007: R, F provider-missing
S14581	07	D-001: S 0.7, F merge-with
S14649	R	D-006: R, F provider-missing
S14669	R	C-060: R
S14687	R	B-070: R, F provider-missing, wrong-cv-link
S14690	R	D-007: R, F provider-missing
S14706	R	D-017: R, F provider-missing
S14803	R	D-002: R, F provider-missing
S14925	R	D-007: R, F provider-missing
S14985	07	B-005: S 0.7, F needs-web
S15002	R	D-001: R, F provider-missing
S15049	R	D-007: R, F provider-missing
S15071	R	R-032: R, F provider-missing
S15072	R	R-033: R, F provider-missing
S15118	R	D-008: R, F provider-missing
S15119	R	D-007: R, F provider-missing
S15121	R	D-013: R, F provider-missing
S15244	07	D-008: S 0.7, F provider-missing
S15350	R	D-005: R, F provider-missing
S15370	R	D-012: R, F provider-missing
S15371	R	D-012: R, F provider-missing
S15372	R	D-012: R, F provider-missing
S15373	R	D-012: R, F provider-missing
S15374	R	D-012: R, F provider-missing
S15375	R	D-012: R, F provider-missing
S15379	R	D-013: R, F provider-missing
S15408	R	D-007: R, F provider-missing
S15425	07	C-061: S 0.7, F wrong-cv-link
S15457	R	B-032: R, F provider-missing, wrong-cv-link
S15516	R	R-065: R, F provider-missing
S15704	R	C-027: R, F misfiled
S15705	R	C-026: R, F provider-missing
S15715	R	D-019: R, F provider-missing
S15716	R	C-026: R, F provider-missing
S15717	R	D-005: R, F provider-missing
S15720	07	B-066: S 0.7, F provider-missing
S15723	R	D-001: R, F provider-missing
S15726	R	D-016: R, F provider-missing
S15727	R	D-016: R, F provider-missing
S15778	R	D-002: R, F provider-missing
S15799	R	D-005: R, F provider-missing
S15817	R	D-019: R, F provider-missing
S15818	R	D-019: R, F provider-missing
S15828	R	D-013: R, F provider-missing
S15842	07	B-006: S 0.7, F needs-web
S15849	R	C-026: R, F provider-missing
S15872	R	D-016: R, F provider-missing
S15898	R	D-011: R, F provider-missing
S15964	07	D-007: S 0.7, F provider-missing
S15965	R	D-017: R, F provider-missing
S15973	R	D-007: R, F provider-missing
S16102	R	C-056: R, F provider-missing
S16129	R	C-050: R, F provider-missing, wrong-cv-link
S16181	R	B-059: R, F provider-missing
S16207	07	A-025: S 0.7
S16209	R	R-069: R, F provider-missing
S16240	R	C-051: R, F provider-missing, wrong-cv-link
S16273	R	R-069: R, F provider-missing
S16274	R	R-069: R, F provider-missing
S16275	R	R-069: R, F provider-missing
S16276	R	R-069: R, F provider-missing
S16277	R	R-069: R, F provider-missing
S16278	R	R-069: R, F provider-missing
S16279	R	R-069: R, F provider-missing
S16304	R	D-013: R, F provider-missing
S16330	R	B-069: R, F provider-missing, wrong-cv-link
S16375	R	D-004: R, F provider-missing
S16462	R	C-029: R, F needs-web
S16514	R	D-003: R, F provider-missing
S16525	R	R-067: R, F provider-missing
S16605	R	R-067: R, F provider-missing
S16642	R	D-013: R, F provider-missing
S16669	R	R-067: R, F provider-missing
S16716	07	C-035: S 0.7, F wrong-cv-link
S16730	07	C-035: S 0.7
S16745	07	C-035: S 0.7, F needs-fetch, needs-web
S16766	07	C-047: S 0.7, F needs-fetch
S16826	R	D-016: R, F provider-missing
S16842	R	D-016: R, F provider-missing
S16852	R	R-062: R, F provider-missing
S16865	R	D-016: R, F provider-missing
S16901	R	R-033: R, F provider-missing, wrong-cv-link
S16978	R	D-007: R, F provider-missing
S17018	R	D-017: R, F provider-missing
S17022	R	C-016: R, F wrong-cv-link
S17055	R	D-007: R, F provider-missing
S17067	R	C-063: R, F provider-missing
S17074	R	D-008: R, F provider-missing
S17076	R	D-009: R, F provider-missing
S17089	R	D-004: R, F provider-missing
S17139	R	R-062: R, F provider-missing
S17352	07	D-012: S 0.7, F provider-missing
S17479	R	D-008: R, F provider-missing
S17528	R	D-014: R, F provider-missing
S17591	R	R-036: R
S17614	07	D-016: S 0.7, F merge-with, provider-missing
S17680	07	C-020: S 0.7, F provider-missing
S17768	07	C-061: S 0.7, F wrong-cv-link
S17785	R	D-007: R, F provider-missing
S17901	R	D-007: R, F provider-missing
S17920	R	D-016: R, F provider-missing
S17922	07	C-006: S 0.7, F provider-missing
S17976	R	R-063: R, F provider-missing
S17986	R	D-004: R, F provider-missing
S17988	R	D-013: R, F provider-missing
S17995	R	B-049: R, F provider-missing
S17997	R	B-049: R, F provider-missing
S18001	R	R-063: R, F provider-missing
S18052	R	D-008: R, F provider-missing
S18073	R	D-006: R, F provider-missing
S18162	R	D-019: R, F provider-missing
S18163	07	D-007: S 0.7, F provider-missing
S18167	R	D-008: R, F provider-missing
S18172	R	D-005: R, F provider-missing
S18213	R	C-029: R, F wrong-cv-link
S18219	R	D-017: R, F provider-missing
S18243	R	D-017: R, F provider-missing
S18251	R	C-022: R, F needs-web
S18316	R	C-027: R, F provider-missing
S18375	R	D-007: R, F provider-missing
S18383	R	D-016: R, F provider-missing
S18412	R	D-012: R, F provider-missing
S18555	R	D-008: R, F provider-missing
S18558	R	D-001: R, F provider-missing
S18559	R	D-019: R, F provider-missing
S18596	R	D-003: R, F provider-missing
S18642	R	D-008: R, F provider-missing
S18665	R	D-006: R, F provider-missing
S18671	R	D-002: R, F provider-missing
S18672	R	D-007: R, F provider-missing
S18693	R	D-011: R, F provider-missing
S18694	R	D-005: R, F provider-missing
S18756	R	D-008: R, F provider-missing
S18781	R	D-007: R, F provider-missing
S18849	R	D-007: R, F provider-missing
S18880	R	D-001: R, F provider-missing
S18909	R	D-008: R, F provider-missing
S18951	R	D-016: R, F provider-missing
S18969	R	B-070: R, F provider-missing
S18975	R	D-007: R, F provider-missing
S19033	R	C-058: R
S19176	R	D-008: R, F provider-missing
S19180	R	R-065: R, F provider-missing
S19184	R	D-006: R, F provider-missing
S19203	R	D-009: R, F provider-missing
S19229	R	D-017: R, F provider-missing
S19296	R	D-019: R, F provider-missing
S19312	R	D-005: R, F provider-missing
S19314	R	D-008: R, F provider-missing
S19327	R	R-065: R, F provider-missing
S19335	R	D-007: R, F provider-missing
S19343	07	C-033: S 0.7
S19424	R	D-005: R, F provider-missing
S19457	R	B-031: R, F wrong-cv-link
S19479	R	C-029: R, F needs-web
S19495	R	D-007: R, F provider-missing
S19501	R	D-008: R, F provider-missing
S19514	R	D-018: R, F provider-missing
S19552	R	D-017: R, F provider-missing
S19616	R	D-009: R, F provider-missing
S19620	R	D-005: R, F provider-missing
S19644	R	D-019: R, F provider-missing
S19701	R	B-066: R, F provider-missing
S19716	R	D-007: R, F provider-missing
S19739	R	D-006: R, F provider-missing
S19825	R	D-017: R, F provider-missing
S19891	R	D-008: R, F provider-missing
S19903	R	C-058: R, F wrong-cv-link
S19966	R	R-065: R, F provider-missing
S19976	R	D-004: R, F provider-missing
S19987	R	D-008: R, F provider-missing
S20027	R	R-046: R, F provider-missing
S20036	R	R-065: R, F provider-missing
S20050	R	D-007: R, F provider-missing
S20145	R	D-007: R, F provider-missing
S20159	R	D-011: R, F provider-missing
S20171	R	D-014: R, F provider-missing
S20228	R	D-014: R, F provider-missing
S20232	R	D-012: R, F provider-missing
S20274	R	D-019: R, F provider-missing
S20294	07	B-047: S 0.7
S20336	R	D-005: R, F provider-missing
S20366	07	B-021: S 0.7, F wrong-cv-link
S20369	R	D-007: R, F provider-missing
S20371	R	D-013: R, F provider-missing
S20376	R	C-028: R, F needs-web
S20457	R	D-007: R, F provider-missing
S20466	R	D-004: R, F provider-missing
S20517	R	C-006: R, F provider-missing
S20667	R	D-013: R, F provider-missing
S20750	R	D-007: R, F provider-missing
S20765	R	D-016: R, F provider-missing
S20778	R	D-008: R, F provider-missing
S20820	R	D-004: R, F provider-missing
S20836	R	D-001: R, F provider-missing
S20837	R	D-001: R, F provider-missing
S20839	R	D-008: R, F provider-missing
S20843	R	D-016: R, F provider-missing
S20856	07	B-019: S 0.7
S20858	07	B-019: S 0.7
S20921	R	D-005: R, F provider-missing
S20931	R	D-005: R, F provider-missing
S20976	R	D-013: R, F provider-missing
S21088	R	C-006: R, F provider-missing, wrong-cv-link
S21102	R	D-017: R, F provider-missing
S21103	R	D-007: R, F provider-missing
S21162	R	D-012: R, F provider-missing
S21163	R	D-017: R, F provider-missing
S21184	07	C-063: S 0.7
S21205	R	B-020: R, F needs-web
S21262	07	C-063: S 0.7, F provider-missing
S21285	R	D-017: R, F provider-missing
S21303	R	D-012: R, F provider-missing
S21372	R	D-005: R, F provider-missing
S21391	R	D-017: R, F provider-missing
S21454	R	D-006: R, F provider-missing
S21551	R	B-047: R, F wrong-cv-link
S21568	R	D-017: R, F provider-missing
S21609	R	D-007: R, F provider-missing
S21635	R	D-019: R, F provider-missing
S21646	R	D-018: R, F provider-missing
S21682	07	C-027: S 0.7
S21759	R	B-042: R, F provider-missing, wrong-cv-link
S21789	R	D-013: R, F provider-missing
S21889	R	D-014: R, F provider-missing
S21927	07	C-052: S 0.7, F needs-web
S21962	R	R-062: R, F provider-missing
S22002	R	C-021: R, F provider-missing
S22048	07	A-030: S 0.7, F provider-missing
S22064	07	C-063: S 0.7, F merge-with, provider-missing
S22065	07	C-063: S 0.7, F merge-with, provider-missing
S22066	07	C-063: S 0.7, F merge-with, provider-missing
S22067	07	C-063: S 0.7, F merge-with, provider-missing
S22084	R	D-013: R, F provider-missing
