# X-041 — item pass over Space Brothers / SPRIGGAN / Spy x Family / Star Wars - Return of the Jedi /
# Star Wars: The Mandalorian: The Manga / Stellar Witch LIP☆S / Stravaganza / Summer Wars / Summit of the
# Gods / Suzuka / Sweat and Soap / the Sword Art Online family (Hollow Realization, Kiss and Fly, Phantom
# Bullet, Project Alicization, Alternative Gun Gale Online, Progressive + its three sub-lines, Re:Aincrad) /
# Talentless Nana / That Blue Summer.
# Same reused-stamp shape throughout (Space Brothers, Sweat and Soap, most SAO sub-shelves): per-file CV is
# correct per volume, per-file GCD is one book's issue id stamped shelf-wide, corrected from the stored
# series' own header pool. SPRIGGAN Deluxe Edition and Talentless Nana show per-file CV landing on a
# DIFFERENT stored volume entirely (foreign edition / Crunchyroll stub); Suzuka's per-file CV consistently
# resolves to the untranslated Japanese-original volume (45091) rather than the stored English digital
# release (95853), whose own cached issues only cover v13-18 — v01-12 take gcd-only identities off the
# 涼風 series' full 18-row list. Star Wars - Return of the Jedi carries one MISFILED book (105917, a Dark
# Horse "Dawn of the Jedi" TPB) with its own record and a C line for what it collects. Stravaganza's English
# 3-book Omnibus has no safe 1:1 mapping onto Ehapa's 7-volume German line, so it takes gcd=- per book with
# an N naming the line. SPRIGGAN's Deluxe volumes collect the 1991-1996 Japanese original (GCD 188803, 11
# issues, no page counts in the dump) but with no safe per-volume range, so no C is written; an N names it.

# Space Brothers S15949 — per-file CV correct per volume; per-file GCD stamped with a wholly different
# series (104004) throughout; the stored 109685's own 45-row list supplies the correction.
I 42319 cv=504887 gcd=1654545 0.9 | header pool v01: CV 85812#1=504887, GCD 109685#1=1654545; per-file gcd (1738157/104004) is a wholly different series, rejected
I 42331 cv=511425 gcd=1654557 0.9 | header pool v13: CV 85812#13=511425, GCD 109685#13=1654557; per-file gcd is the same wrong series, rejected
I 42332 cv=512252 gcd=1654558 0.9 | header pool v14: CV 85812#14=512252, GCD 109685#14=1654558; per-file gcd is the same wrong series, rejected
I 42333 cv=513441 gcd=1654559 0.9 | header pool v15: CV 85812#15=513441, GCD 109685#15=1654559; per-file gcd is the same wrong series, rejected
I 42334 cv=514227 gcd=1654560 0.9 | header pool v16: CV 85812#16=514227, GCD 109685#16=1654560; per-file gcd is the same wrong series, rejected
I 42335 cv=515919 gcd=1654561 0.9 | header pool v17: CV 85812#17=515919, GCD 109685#17=1654561; per-file gcd is the same wrong series, rejected
I 42336 cv=516802 gcd=1654562 0.9 | header pool v18: CV 85812#18=516802, GCD 109685#18=1654562; per-file gcd is the same wrong series, rejected
I 42337 cv=517682 gcd=1654563 0.9 | header pool v19: CV 85812#19=517682, GCD 109685#19=1654563; per-file gcd is the same wrong series, rejected
I 42338 cv=518719 gcd=1654564 0.9 | header pool v20: CV 85812#20=518719, GCD 109685#20=1654564; per-file gcd is the same wrong series, rejected
I 42339 cv=520033 gcd=1654565 0.9 | header pool v21: CV 85812#21=520033, GCD 109685#21=1654565; per-file gcd is the same wrong series, rejected
I 42340 cv=521201 gcd=1654566 0.9 | header pool v22: CV 85812#22=521201, GCD 109685#22=1654566; per-file gcd is the same wrong series, rejected
I 42341 cv=522170 gcd=1654567 0.9 | header pool v23: CV 85812#23=522170, GCD 109685#23=1654567; per-file gcd is the same wrong series, rejected
I 42342 cv=523183 gcd=1654568 0.9 | header pool v24: CV 85812#24=523183, GCD 109685#24=1654568; per-file gcd is the same wrong series, rejected
I 42343 cv=548509 gcd=1654569 0.9 | header pool v25: CV 85812#25=548509, GCD 109685#25=1654569; per-file gcd is the same wrong series, rejected
I 42344 cv=552038 gcd=1654570 0.9 | header pool v26: CV 85812#26=552038, GCD 109685#26=1654570; per-file gcd is the same wrong series, rejected
I 42345 cv=563640 gcd=1654571 0.9 | header pool v27: CV 85812#27=563640, GCD 109685#27=1654571; per-file gcd is the same wrong series, rejected
I 42346 cv=571598 gcd=1654572 0.9 | header pool v28: CV 85812#28=571598, GCD 109685#28=1654572; per-file gcd is the same wrong series, rejected
I 42347 cv=617521 gcd=1654573 0.9 | header pool v29: CV 85812#29=617521, GCD 109685#29=1654573; per-file gcd is the same wrong series, rejected
I 42348 cv=640457 gcd=2034132 0.9 | header pool v30: CV 85812#30=640457, GCD 109685#30=2034132; per-file gcd is the same wrong series, rejected
I 42349 cv=650718 gcd=2034133 0.9 | header pool v31: CV 85812#31=650718, GCD 109685#31=2034133; per-file gcd is the same wrong series, rejected
I 42350 cv=679152 gcd=2034134 0.9 | header pool v32: CV 85812#32=679152, GCD 109685#32=2034134; per-file gcd is the same wrong series, rejected
I 42351 cv=695435 gcd=2034135 0.9 | header pool v33: CV 85812#33=695435, GCD 109685#33=2034135; per-file gcd is the same wrong series, rejected
I 42352 cv=734459 gcd=2034136 0.9 | header pool v34: CV 85812#34=734459, GCD 109685#34=2034136; per-file gcd is the same wrong series, rejected
I 42353 cv=744455 gcd=2034137 0.9 | header pool v35: CV 85812#35=744455, GCD 109685#35=2034137; per-file gcd is the same wrong series, rejected
I 42354 cv=762271 gcd=2034138 0.9 | header pool v36: CV 85812#36=762271, GCD 109685#36=2034138; per-file gcd is the same wrong series, rejected
I 42355 cv=794808 gcd=2212342 0.9 | header pool v37: CV 85812#37=794808, GCD 109685#37=2212342; per-file gcd is the same wrong series, rejected
I 42356 cv=820563 gcd=2212343 0.9 | header pool v38: CV 85812#38=820563, GCD 109685#38=2212343; per-file gcd is the same wrong series, rejected
I 42357 cv=889312 gcd=2212344 0.9 | header pool v39: CV 85812#39=889312, GCD 109685#39=2212344; per-file gcd is the same wrong series, rejected
I 42358 cv=965249 gcd=2806680 0.9 | header pool v40: CV 85812#40=965249, GCD 109685#40=2806680; per-file gcd is the same wrong series, rejected
I 42359 cv=965250 gcd=2806681 0.9 | header pool v41: CV 85812#41=965250, GCD 109685#41=2806681; per-file gcd is the same wrong series, rejected
I 42360 cv=1030390 gcd=2806682 0.9 | header pool v42: CV 85812#42=1030390, GCD 109685#42=2806682; per-file gcd is the same wrong series, rejected
I 42361 cv=1043716 gcd=2806683 0.9 | header pool v43: CV 85812#43=1043716, GCD 109685#43=2806683; per-file gcd is the same wrong series, rejected

# SPRIGGAN S14917 — the Deluxe Edition volumes' own record is the stored 143734/188798, not the per-file
# pick (which is the original 1989 run's foreign-language legs: CV 155035 Panini España, GCD 53322 Panini
# Deutschland).
I 43949 cv=931493 gcd=2429767 0.95 | header pool v01: CV 143734#1=931493, GCD 188798#1=2429767 (isbn 978-1-63858-579-4); per-file cv/gcd (155035, 53322) are the 1989 original's Spanish/German legs, rejected
I 43950 cv=957309 gcd=2469318 0.95 | header pool v02: CV 143734#2=957309, GCD 188798#2=2469318 (isbn 978-1-63858-749-1); per-file legs are the same foreign-original pair, rejected
I 43951 cv=974220 gcd=2499475 0.95 | header pool v03: CV 143734#3=974220, GCD 188798#3=2499475 (isbn 978-1-63858-917-4); per-file legs are the same foreign-original pair, rejected
I 43952 cv=997874 gcd=2554454 0.95 | header pool v04: CV 143734#4=997874, GCD 188798#4=2554454 (isbn 978-1-68579-527-6); per-file legs are the same foreign-original pair, rejected
N 14917 the Deluxe Edition volumes collect the 1991-1996 Japanese original (GCD 188803 "スプリガン [Spriggan]", Shogakukan, 11 issues; ComicVine has no volume for the Japanese original, only foreign editions); gcd_issue has no page counts for series 188803, so no safe per-volume range exists — C withheld for all four books

# Spy x Family S16339 — per-file CV lands on a chapter-numbered digital volume (160372), never the stored
# 127643; per-file GCD splits into two per-book candidates (160397 for v01-6, 188648 for v07-11), never the
# stored series directly matched by ordinal, but the stored series' own 15-row list resolves everything.
I 45356 cv=766210 gcd=2118122 0.95 | header pool v01: CV 127643#1=766210, GCD 160397#1=2118122 (isbn 978-1-9747-1546-6); per-file cv (1073615/160372) is a different, chapter-numbered volume, rejected
I 45357 cv=797014 gcd=2142496 0.95 | header pool v02: CV 127643#2=797014, GCD 160397#2=2142496 (isbn 978-1-9747-1724-8); per-file cv is the same wrong volume; per-file gcd (2118122) is v01's stamp, rejected
I 45358 cv=819974 gcd=2171837 0.95 | header pool v03: CV 127643#3=819974, GCD 160397#3=2171837 (isbn 978-1-9747-1816-0); per-file cv is the same wrong volume; per-file gcd is the same v01 stamp, rejected
I 45359 cv=831680 gcd=2203542 0.95 | header pool v04: CV 127643#4=831680, GCD 160397#4=2203542 (isbn 978-1-9747-2103-0); per-file cv is the same wrong volume; per-file gcd is the same v01 stamp, rejected
I 45360 cv=858580 gcd=2230910 0.95 | header pool v05: CV 127643#5=858580, GCD 160397#5=2230910 (isbn 978-1-9747-2294-5); per-file cv is the same wrong volume; per-file gcd is the same v01 stamp, rejected
I 45361 cv=888385 gcd=2268400 0.95 | header pool v06: CV 127643#6=888385, GCD 160397#6=2268400 (isbn 978-1-9747-2513-7); per-file cv is the same wrong volume; per-file gcd is the same v01 stamp, rejected
I 45362 cv=914984 gcd=2385036 0.95 | header pool v07: CV 127643#7=914984, GCD 160397#7=2385036 (isbn 978-1-9747-2848-0); per-file cv is the same wrong volume; per-file gcd (2427478/188648) is a second wrong candidate, rejected
I 45363 cv=948525 gcd=2435854 0.95 | header pool v08: CV 127643#8=948525, GCD 160397#8=2435854 (isbn 978-1-9747-3427-6); per-file cv is the same wrong volume; per-file gcd is the same second wrong candidate, rejected
I 45364 cv=977264 gcd=2511091 0.95 | header pool v09: CV 127643#9=977264, GCD 160397#9=2511091 (isbn 978-1-9747-3628-7); per-file cv is the same wrong volume; per-file gcd is the same second wrong candidate, rejected
I 45365 cv=1025198 gcd=2574116 0.95 | header pool v10: CV 127643#10=1025198, GCD 160397#10=2574116 (isbn 978-1-9747-4067-3); per-file cv is the same wrong volume; per-file gcd is the same second wrong candidate, rejected
I 45366 cv=1048721 gcd=2617350 0.95 | header pool v11: CV 127643#11=1048721, GCD 160397#11=2617350 (isbn 978-1-9747-4329-2); per-file cv is the same wrong volume; per-file gcd is the same second wrong candidate, rejected

# Star Wars - Return of the Jedi S16571 — the four "Marvel Edition" files are Dark Horse's 1999 manga
# (CV 28392/GCD 26013); per-file link stamps Marvel's UNRELATED 1983 adaptation (62244/222794) throughout.
# Item 105917 is a MISFILED book: "Dawn of the Jedi Vol. 01 - Force Storm", a different Dark Horse mini.
I 45375 cv=174790 gcd=369958 0.9 | header pool v1: CV 28392#1=174790, GCD 26013#1=369958; per-file cv/gcd (576385/62244, 2059958/222794) are Marvel's unrelated 1983 adaptation, rejected
I 45376 cv=174798 gcd=369959 0.9 | header pool v2: CV 28392#2=174798, GCD 26013#2=369959; per-file link is the same Marvel-1983 stamp, rejected
I 45377 cv=174800 gcd=369960 0.9 | header pool v3: CV 28392#3=174800, GCD 26013#3=369960; per-file link is the same Marvel-1983 stamp, rejected
I 45378 cv=174801 gcd=369961 0.9 | header pool v4: CV 28392#4=174801, GCD 26013#4=369961; per-file link is the same Marvel-1983 stamp, rejected
N 16571 item 105917 ("Star Wars - Dawn of the Jedi Vol. 01 - Force Storm") sits under Marvel-IDW Star Wars\_Star Wars - Dark Horse Reprints, a different Dark Horse mini folded onto this Return of the Jedi manga shelf's item batch — misfiled, not this shelf's own book
I 105917 cv=- gcd=s63307 0.9 | Dark Horse's "Star Wars: Dawn of the Jedi - Force Storm" 2012 5-issue mini (GCD 63307, Dark Horse); no ComicVine volume exists for it; no dedicated GCD TPB row exists either, so the series id stands per the no-safe-mapping rule
C 105917 gcd=63307 #1-5 0.9 | this 121pp TPB collects all five issues of Dark Horse's 2012 "Star Wars: Dawn of the Jedi - Force Storm" mini (GCD 63307, issues 920699/932009/940677/944758/953437), misfiled onto the Return of the Jedi shelf

# Star Wars: The Mandalorian: The Manga S16610 — v01 direct agreement (twice, a second rip in another
# folder); v02's per-file cv is a different volume and its ComicInfo isbn does not match either header row.
I 45380 cv=1026099 gcd=2571184 0.95 | per-file cv and gcd both match header #1 exactly: CV 154261#1=1026099, GCD 204184#1=2571184 (isbn 978-1974740963); direct agreement
I 103995 cv=1026099 gcd=2571184 0.95 | second rip of v01 in the Marvel-IDW Star Wars folder, same file/page count as item 45380; identical header #1 identity
I 45381 cv=1054344 gcd=2630878 0.95 | header pool #2: CV 154261#2=1054344, GCD 204184#2=2630878 (isbn 978-1-9747-4689-7); per-file cv (1111932/164516) is a different volume, rejected; the file's ComicInfo isbn (9781974747474) matches neither header row and reads as scrape noise

# Stellar Witch LIP☆S S16837 — single book, one leg only.
I 45382 cv=766128 gcd=- 0.9 | header pool #1: CV 127631#1=766128 (danke-Empire v01, judged #1-3); the stored GCD 200505 is the French "Stellar Witch Lips" edition per the shelf's own language-pair note and does not map 1:1 to this single English volume, so gcd=-

# Stravaganza S16939 — CV count matches our 3-book English Omnibus exactly; the stored GCD 172841 is
# Ehapa's 7-volume German line with no page counts to place a safe per-book range.
I 43953 cv=715079 gcd=- 0.9 | header pool #1: CV 120515#1=715079; per-file cv (586322/99680) is a different, chapter-numbered volume, rejected; Ehapa's German 172841 has no safe per-book mapping (no page counts in the dump)
I 43954 cv=733592 gcd=- 0.9 | header pool #2: CV 120515#2=733592; per-file cv (586323/99680) is the same wrong volume, rejected; German GCD line has no safe per-book mapping
I 43955 cv=737616 gcd=- 0.9 | header pool #3: CV 120515#3=737616; per-file cv (586324/99680) is the same wrong volume, rejected; German GCD line has no safe per-book mapping
N 16939 no safe range mapping from our 3-book English Omnibus edition to Ehapa's 7-volume German line (GCD 172841) — gcd_issue has no page counts to place a range, C withheld for all three books

# Summer Wars S17054 — our single 561pp "Complete Edition" file has its OWN one-shot record (CV 155900/
# GCD 142966), distinct from the shelf's 2-volume print run; it also gets a C line naming what it collects.
I 45383 cv=1039142 gcd=1941613 0.95 | own record for the 2018/2020 Vertical "Summer Wars: Complete Edition" one-shot (CV 155900/GCD 142966, both count 1) matching our single 561pp file; per-file link (61255/126004, Kadokawa/Waneko) was the Japanese-original pairing, rejected
C 45383 cv=68541 gcd=77390 #1-2 0.95 | this 561pp Complete Edition omnibus collects both volumes of Vertical's 2013 two-volume print edition (CV 68541/GCD 77390, count 2 each), the shelf's own S identity

# Summit of the Gods S17058 — v01 direct agreement; v02-v04 by header ordinal (page counts within a few pp
# of the GCD row); v05 has no GCD row (GCD's count stops at 4, ours runs to 5).
I 45384 cv=425127 gcd=806693 0.95 | per-file gcd already matches header #1 (806693, "fulldump-rematch"); CV 67248#1=425127 confirms; direct agreement
I 45385 cv=425128 gcd=814768 0.95 | header pool #2: CV 67248#2=425128, GCD 54678#2=814768 (336pp isbn 978-84-92444-32-8); our 329pp file is within a few pages of the GCD row
I 45386 cv=425129 gcd=1099235 0.95 | header pool #3: CV 67248#3=425129, GCD 54678#3=1099235 (336pp isbn 978-84-92444-33-5); our 332pp file is within a few pages of the GCD row
I 45387 cv=425115 gcd=1140423 0.95 | header pool #4: CV 67248#4=425115, GCD 54678#4=1140423 (316pp isbn 978-84-92444-63-2); our 306pp file is within a few pages of the GCD row
I 45388 cv=492135 gcd=- 0.95 | header pool #5: CV 67248#5=492135; GCD 54678 has only 4 cached rows, so this fifth English volume has no GCD row yet — honest gcd=-

# Suzuka S17373 — per-file cv resolves consistently to the untranslated JAPANESE original (CV 45091, dates
# 2004-2007), never the stored English digital release (CV 95853, Kodansha Comics USA); 95853's own cached
# issues cover only v13-18, so v01-12 take gcd-only identities off the stored GCD series 112565's full
# 18-row 涼風 list (which matches our 18-volume ladder exactly by ordinal).
I 42128 cv=- gcd=1678781 0.9 | GCD 112565#1=1678781; the stored CV 95853's own rip only caches issues #13-18, none for v01; per-file cv (310526/45091) is the untranslated Japanese-original volume, rejected
I 42129 cv=- gcd=1678782 0.9 | GCD 112565#2=1678782; CV 95853 has no cached issue here either; per-file cv is the same Japanese-original volume, rejected
I 42130 cv=- gcd=1678783 0.9 | GCD 112565#3=1678783; CV 95853 has no cached issue here either; per-file cv is the same Japanese-original volume, rejected
I 42131 cv=- gcd=1678784 0.9 | GCD 112565#4=1678784; CV 95853 has no cached issue here either; per-file cv is the same Japanese-original volume, rejected
I 42132 cv=- gcd=1678785 0.9 | GCD 112565#5=1678785; CV 95853 has no cached issue here either; per-file cv is the same Japanese-original volume, rejected
I 42133 cv=- gcd=1678786 0.9 | GCD 112565#6=1678786; CV 95853 has no cached issue here either; per-file cv is the same Japanese-original volume, rejected
I 42134 cv=- gcd=1678787 0.9 | GCD 112565#7=1678787; CV 95853 has no cached issue here either; per-file cv is the same Japanese-original volume, rejected
I 42135 cv=- gcd=1678788 0.9 | GCD 112565#8=1678788; CV 95853 has no cached issue here either; per-file cv is the same Japanese-original volume, rejected
I 42136 cv=- gcd=1678789 0.9 | GCD 112565#9=1678789; CV 95853 has no cached issue here either; per-file cv is the same Japanese-original volume, rejected
I 42137 cv=- gcd=1678790 0.9 | GCD 112565#10=1678790; CV 95853 has no cached issue here either; per-file cv is the same Japanese-original volume, rejected
I 42138 cv=- gcd=1678791 0.9 | GCD 112565#11=1678791; CV 95853 has no cached issue here either; per-file cv is the same Japanese-original volume, rejected
I 42139 cv=- gcd=1678792 0.9 | GCD 112565#12=1678792; CV 95853 has no cached issue here either; per-file cv is the same Japanese-original volume, rejected
I 42140 cv=559042 gcd=1678793 0.9 | header pool v13: CV 95853#13=559042, GCD 112565#13=1678793; per-file cv (310538/45091) is the Japanese-original volume, rejected
I 42141 cv=562657 gcd=1678794 0.9 | header pool v14: CV 95853#14=562657, GCD 112565#14=1678794; per-file cv is the same Japanese-original volume, rejected
I 42142 cv=563641 gcd=1678795 0.9 | header pool v15: CV 95853#15=563641, GCD 112565#15=1678795; per-file cv is the same Japanese-original volume, rejected
I 42143 cv=580683 gcd=1678796 0.9 | header pool v16: CV 95853#16=580683, GCD 112565#16=1678796; per-file cv is the same Japanese-original volume, rejected
I 42144 cv=581478 gcd=1678797 0.9 | header pool v17: CV 95853#17=581478, GCD 112565#17=1678797; per-file cv is the same Japanese-original volume, rejected
I 42145 cv=582390 gcd=1678798 0.9 | header pool v18: CV 95853#18=582390, GCD 112565#18=1678798; per-file cv is the same Japanese-original volume, rejected

# Sweat and Soap S17394 — per-file CV correct per volume, per-file GCD is v01's id (2079555) stamped across
# all eleven.
I 43959 cv=738479 gcd=2079555 0.95 | header pool v01: CV 125262#1=738479, GCD 156523#1=2079555 (isbn 9781632369703); direct agreement
I 43960 cv=755557 gcd=2106037 0.95 | header pool v02: CV 125262#2=755557, GCD 156523#2=2106037 (isbn 9781632369710); per-file gcd (2079555) is v01's stamp, rejected
I 43961 cv=794578 gcd=2133966 0.95 | header pool v03: CV 125262#3=794578, GCD 156523#3=2133966 (isbn 9781646510054); per-file gcd is the same v01 stamp, rejected
I 43962 cv=806877 gcd=2158404 0.95 | header pool v04: CV 125262#4=806877, GCD 156523#4=2158404 (isbn 9781646510061); per-file gcd is the same v01 stamp, rejected
I 43963 cv=823850 gcd=2183723 0.95 | header pool v05: CV 125262#5=823850, GCD 156523#5=2183723 (isbn 9781646510726); per-file gcd is the same v01 stamp, rejected
I 43964 cv=856519 gcd=2227915 0.95 | header pool v06: CV 125262#6=856519, GCD 156523#6=2227915 (isbn 9781646510733); per-file gcd is the same v01 stamp, rejected
I 43965 cv=874178 gcd=2248722 0.95 | header pool v07: CV 125262#7=874178, GCD 156523#7=2248722 (isbn 9781646511662); per-file gcd is the same v01 stamp, rejected
I 43966 cv=882657 gcd=2259062 0.95 | header pool v08: CV 125262#8=882657, GCD 156523#8=2259062 (isbn 9781646511679); per-file gcd is the same v01 stamp, rejected
I 43967 cv=885415 gcd=2264765 0.95 | header pool v09: CV 125262#9=885415, GCD 156523#9=2264765 (isbn 9781646512195); per-file gcd is the same v01 stamp, rejected
I 43968 cv=894194 gcd=2277675 0.95 | header pool v10: CV 125262#10=894194, GCD 156523#10=2277675 (isbn 9781646512966); per-file gcd is the same v01 stamp, rejected
I 43969 cv=898060 gcd=2299226 0.95 | header pool v11: CV 125262#11=898060, GCD 156523#11=2299226 (isbn 9781646512973); per-file gcd is the same v01 stamp, rejected

# Sword Art Online: Hollow Realization S17420 — single book, direct agreement.
I 44000 cv=691247 gcd=1889821 0.95 | per-file cv and gcd both match header #1 exactly: CV 115028#1=691247, GCD 134777#1=1889821 (isbn 9781975354749); direct agreement

# Sword Art Online - Kiss and Fly S17410 — v01 direct agreement, v02-v03 gcd corrected off the v01 stamp.
I 43970 cv=1062690 gcd=2684721 0.95 | per-file cv and gcd both match header #1 exactly: CV 158800#1=1062690, GCD 217751#1=2684721; direct agreement
I 43971 cv=1073841 gcd=2684722 0.95 | header pool #2: CV 158800#2=1073841, GCD 217751#2=2684722; per-file gcd (2684721) is v01's stamp, rejected
I 43972 cv=1091062 gcd=2788728 0.95 | header pool #3: CV 158800#3=1091062, GCD 217751#3=2788728; per-file gcd is the same v01 stamp, rejected

# Sword Art Online: Phantom Bullet S17411 — v01 direct agreement, v02-v03 corrected off the v01 stamp, v04
# corrected off a second wrong series.
I 43973 cv=512255 gcd=1918383 0.95 | per-file cv and gcd both match header #1 exactly: CV 87593#1=512255, GCD 139785#1=1918383; direct agreement
I 43974 cv=527007 gcd=1918384 0.95 | header pool #2: CV 87593#2=527007, GCD 139785#2=1918384; per-file gcd (1918383) is #1's stamp, rejected
I 43975 cv=621817 gcd=1918385 0.95 | header pool #3: CV 87593#3=621817, GCD 139785#3=1918385; per-file gcd is the same #1 stamp, rejected
I 43976 cv=964724 gcd=2487176 0.95 | header pool #4: CV 87593#4=964724, GCD 139785#4=2487176 (isbn 9781975361754); per-file gcd (1925049/140548) is a wholly different series, rejected

# Sword Art Online: Project Alicization S17412 — per-file CV correct per volume, per-file GCD is stamped
# with a wholly different series (161475) on all five.
I 44002 cv=819967 gcd=2181983 0.95 | header pool #1: CV 132364#1=819967, GCD 167580#1=2181983 (isbn 9781975318178); per-file gcd (2124092/161475) is a wholly different series, rejected
I 44003 cv=830074 gcd=2202335 0.95 | header pool #2: CV 132364#2=830074, GCD 167580#2=2202335 (isbn 9781975318192); per-file gcd is the same wrong series, rejected
I 44004 cv=865271 gcd=2235965 0.95 | header pool #3: CV 132364#3=865271, GCD 167580#3=2235965 (isbn 9781975318215); per-file gcd is the same wrong series, rejected
I 44005 cv=912036 gcd=2382568 0.95 | header pool #4: CV 132364#4=912036, GCD 167580#4=2382568 (isbn 9781975341770); per-file gcd is the same wrong series, rejected
I 44006 cv=944265 gcd=2417282 0.95 | header pool #5: CV 132364#5=944265, GCD 167580#5=2417282 (isbn 9781975345327); per-file gcd is the same wrong series, rejected

# Sword Art Online Alternative Gun Gale Online S17413 — v01 direct agreement, v02-v03 corrected off the
# v01 stamp.
I 44007 cv=636584 gcd=1754303 0.95 | per-file cv and gcd both match header #1: CV 106025#1=636584, GCD 118505#1=1754303 (isbn 9780316442411); direct agreement
I 44008 cv=677457 gcd=1825377 0.95 | header pool #2: CV 106025#2=677457, GCD 118505#2=1825377 (isbn 9781975326500); per-file gcd (1754303) is v01's stamp, rejected
I 44009 cv=711712 gcd=1978991 0.95 | header pool #3: CV 106025#3=711712, GCD 118505#3=1978991 (isbn 9781975357658); per-file gcd is the same v01 stamp, rejected

# Sword Art Online: Progressive S17414 — v01 direct agreement, v02-v07 corrected off the v01 stamp.
I 44010 cv=476682 gcd=1664304 0.95 | per-file cv and gcd both match header #1: CV 79544#1=476682, GCD 111186#1=1664304 (isbn 978-0-316-25937-8); direct agreement
I 44011 cv=486627 gcd=1664305 0.95 | header pool #2: CV 79544#2=486627, GCD 111186#2=1664305 (isbn 978-0-316-38377-6); per-file gcd (1664304) is v01's stamp, rejected
I 44012 cv=500953 gcd=1664306 0.95 | header pool #3: CV 79544#3=500953, GCD 111186#3=1664306 (isbn 978-0-316-34875-1); per-file gcd is the same v01 stamp, rejected
I 44013 cv=521204 gcd=1786448 0.95 | header pool #4: CV 79544#4=521204, GCD 111186#4=1786448; per-file gcd is the same v01 stamp, rejected
I 44014 cv=587359 gcd=1786449 0.95 | header pool #5: CV 79544#5=587359, GCD 111186#5=1786449; per-file gcd is the same v01 stamp, rejected
I 44015 cv=656666 gcd=1786450 0.95 | header pool #6: CV 79544#6=656666, GCD 111186#6=1786450; per-file gcd is the same v01 stamp, rejected
I 44016 cv=694009 gcd=1918211 0.95 | header pool #7: CV 79544#7=694009, GCD 111186#7=1918211 (isbn 9781975329198); per-file gcd is the same v01 stamp, rejected

# Sword Art Online Progressive - Barcarolle of Froth S17417 — v01 direct agreement, v02 corrected.
