# X-040 — item pass over Samurai Executioner / Sankarea / Saturn Apartments / School Zone Girls /
# Shangri-La Frontier / Shy / Silver Spoon / Since I Could Die Tomorrow / Skull-face Bookseller Honda-san /
# Slam Dunk / Smile Down the Runway / Snowball Earth / Soul Eater / Soul Eater NOT!.
# Same GCD-reused-stamp shape as every prior item batch (v01's issue id stamped across the whole shelf) on
# Samurai Executioner, Sankarea, Silver Spoon, Skull-face Bookseller Honda-san, Sweat and Soap-style shelves
# here. Slam Dunk and both Soul Eater shelves are worse: per-file CV ALSO lands on a foreign/old-edition twin
# volume (22462/135039/45091-style ids), so BOTH legs are read off the shelf's own header pool by ordinal,
# never the per-file pick. Shy's per-file CV points at an entirely different volume (140077) throughout.
# Shangri-La Frontier's per-file GCD names two per-book CANDIDATE series (177010 for v01-04, 188643 for
# v05-17), neither the stored 189756 — the stored series' own 21-row issue list is the pool, matched by
# ordinal. Saturn Apartments, Snowball Earth v01, School Zone Girls and Sword-adjacent one-shots show clean
# direct agreement on both legs with no stamp to correct.

# Samurai Executioner S24303 — two rip sets of the same ten volumes (40797-40806, 45936-45945); per-file CV
# is correct per volume, per-file GCD is v01's id (231425) stamped across all ten.
I 40797 cv=104280 gcd=231425 0.95 | header pool v01: CV 11924#1=104280, GCD 12941#1=231425 (isbn 1-59307-207-4); direct agreement, no correction needed
I 41348 cv=457721 gcd=1226241 0.95 | header pool v07: CV 63732#7=457721, GCD 79121#7=1226241 (isbn 978-1-612625508); per-file gcd is the same v01 stamp, rejected
I 41349 cv=463541 gcd=1893081 0.95 | header pool v08: CV 63732#8=463541, GCD 79121#8=1893081; per-file gcd is the same v01 stamp, rejected
I 41350 cv=468530 gcd=1893082 0.95 | header pool v09: CV 63732#9=468530, GCD 79121#9=1893082; per-file gcd is the same v01 stamp, rejected
I 41351 cv=472038 gcd=1893083 0.95 | header pool v10: CV 63732#10=472038, GCD 79121#10=1893083; per-file gcd is the same v01 stamp, rejected
I 41352 cv=483270 gcd=1893084 0.95 | header pool v11: CV 63732#11=483270, GCD 79121#11=1893084; per-file gcd is the same v01 stamp, rejected

# Saturn Apartments S15074 — clean shelf, per-file matched by num on both legs for every volume.
I 42146 cv=260644 gcd=854489 0.95 | per-file cv and gcd both match header v01 exactly: CV 38837#1=260644, GCD 59788#1=854489 (isbn 978-1-4215-3364-3); direct agreement
I 42147 cv=260645 gcd=854490 0.95 | per-file cv and gcd both match header v02 exactly: CV 38837#2=260645, GCD 59788#2=854490 (isbn 978-1-4215-3373-5); direct agreement
I 42148 cv=270560 gcd=854491 0.95 | per-file cv and gcd both match header v03 exactly: CV 38837#3=270560, GCD 59788#3=854491; direct agreement
I 42149 cv=302787 gcd=894702 0.95 | per-file cv and gcd both match header v04 exactly: CV 38837#4=302787, GCD 59788#4=894702 (isbn 978-1-4215-3375-9); direct agreement
I 42150 cv=336267 gcd=952215 0.95 | per-file cv and gcd both match header v05 exactly: CV 38837#5=336267, GCD 59788#5=952215 (isbn 978-1-42154-129-7); direct agreement
I 42151 cv=369140 gcd=1034820 0.95 | per-file cv and gcd both match header v06 exactly: CV 38837#6=369140, GCD 59788#6=1034820 (isbn 978-1-4215-4130-3); direct agreement
I 42152 cv=404745 gcd=1115112 0.95 | per-file cv and gcd both match header v07 exactly: CV 38837#7=404745, GCD 59788#7=1115112 (isbn 978-1-4215-5268-2); direct agreement

# School Zone Girls S15156 — single volume, direct agreement.
I 45284 cv=847835 gcd=2224272 0.95 | per-file cv and gcd both match header v01: CV 135944#1=847835, GCD 172393#1=2224272 (isbn 978-1-64827-416-9); direct agreement

# Shangri-La Frontier S15475 — per-file CV correct per volume; per-file GCD names two per-book CANDIDATE
# series (177010 for v01-04, 188643 for v05-17), never the stored 189756 — the stored series' own 21-row
# issue list is the pool, read by ordinal.
I 45318 cv=820565 gcd=2435745 0.95 | per-file cv matches header #1 (820565); stored GCD 189756's own list #1=2435745 (isbn 9781646514823); per-file gcd (2269836/177010) is a per-book candidate series, not the stored one, rejected
I 45319 cv=829568 gcd=2445521 0.95 | per-file cv matches header #2 (829568); GCD 189756 #2=2445521 (isbn 9781646514830); per-file gcd (2269836/177010) is the same wrong candidate, rejected
I 45320 cv=876609 gcd=2498061 0.95 | per-file cv matches header #3 (876609); GCD 189756 #3=2498061; per-file gcd (2269836/177010) is the same wrong candidate, rejected
I 45321 cv=906811 gcd=2498062 0.95 | per-file cv matches header #4 (906811); GCD 189756 #4=2498062 (isbn 9781646514854); per-file gcd (2269836/177010) is the same wrong candidate, rejected
I 45322 cv=942604 gcd=2526740 0.95 | per-file cv matches header #5 (942604); GCD 189756 #5=2526740 (isbn 9781646514861); per-file gcd (2427473/188643) is a second wrong per-book candidate, rejected
I 45323 cv=942605 gcd=2551367 0.95 | per-file cv matches header #6 (942605); GCD 189756 #6=2551367 (isbn 9781646516599); per-file gcd is the same second wrong candidate, rejected
I 45324 cv=942606 gcd=2565763 0.95 | per-file cv matches header #7 (942606); GCD 189756 #7=2565763 (isbn 9781646516605); per-file gcd is the same second wrong candidate, rejected
I 45325 cv=961357 gcd=2578580 0.95 | per-file cv matches header #8 (961357); GCD 189756 #8=2578580 (isbn 9781646518098); per-file gcd is the same second wrong candidate, rejected
I 45326 cv=968310 gcd=2596228 0.95 | per-file cv matches header #9 (968310); GCD 189756 #9=2596228 (isbn 9781646518296); per-file gcd is the same second wrong candidate, rejected
I 45327 cv=1015511 gcd=2612485 0.95 | per-file cv matches header #10 (1015511); GCD 189756 #10=2612485 (isbn 9781646519002); per-file gcd is the same second wrong candidate, rejected
I 45328 cv=1026669 gcd=2627729 0.95 | per-file cv matches header #11 (1026669); GCD 189756 #11=2627729 (isbn 9781646519491); per-file gcd is the same second wrong candidate, rejected
I 45329 cv=1026670 gcd=2643077 0.95 | per-file cv matches header #12 (1026670); GCD 189756 #12=2643077 (isbn 9798888770634); per-file gcd is the same second wrong candidate, rejected
I 45330 cv=1038896 gcd=2654386 0.95 | per-file cv matches header #13 (1038896); GCD 189756 #13=2654386 (isbn 9798888770641); per-file gcd is the same second wrong candidate, rejected
I 45331 cv=1038897 gcd=2672531 0.95 | per-file cv matches header #14 (1038897); GCD 189756 #14=2672531 (isbn 9798888771587); per-file gcd is the same second wrong candidate, rejected
I 45332 cv=1047197 gcd=2716465 0.95 | per-file cv matches header #15 (1047197); GCD 189756 #15=2716465 (isbn 9798888772850); per-file gcd is the same second wrong candidate, rejected
I 45333 cv=1054323 gcd=2730048 0.95 | per-file cv matches header #16 (1054323); GCD 189756 #16=2730048 (isbn 9798888772867); per-file gcd is the same second wrong candidate, rejected
I 45334 cv=1068570 gcd=2781675 0.95 | per-file cv matches header #17 (1068570); GCD 189756 #17=2781675; per-file gcd is the same second wrong candidate, rejected

# Shy S15592 — per-file CV points at an entirely different volume (140077) on both books; header pool of
# the stored CV 146837 supplies the right issue.
I 45336 cv=959770 gcd=2476515 0.95 | header pool #1: CV 146837#1=959770, GCD 194507#1=2476515 (isbn 978-1-9753-5237-0); per-file cv (893857/140077) is a different volume, rejected; per-file gcd matched by coincidence
I 45337 cv=978510 gcd=2510746 0.95 | header pool #2: CV 146837#2=978510, GCD 194507#2=2510746 (isbn 9781975352394); per-file cv (894207/140077) is the same wrong volume; per-file gcd (2476515) is v01's stamp, rejected

# Silver Spoon S15631 — per-file CV correct per volume, per-file GCD is v01's id (1788226) stamped across
# all fifteen.
I 43898 cv=660545 gcd=1788226 0.95 | header pool v01: CV 108838#1=660545, GCD 122514#1=1788226 (isbn 978-0-316-41619-1); direct agreement
I 43899 cv=666720 gcd=1800808 0.95 | header pool v02: CV 108838#2=666720, GCD 122514#2=1800808 (isbn 978-1-975-32619-7); per-file gcd (1788226) is v01's stamp, rejected
I 43900 cv=673983 gcd=1819188 0.95 | header pool v03: CV 108838#3=673983, GCD 122514#3=1819188 (isbn 9781975327460); per-file gcd is the same v01 stamp, rejected
I 43901 cv=682385 gcd=1841788 0.95 | header pool v04: CV 108838#4=682385, GCD 122514#4=1841788 (isbn 9781975327590); per-file gcd is the same v01 stamp, rejected
I 43902 cv=691813 gcd=1865719 0.95 | header pool v05: CV 108838#5=691813, GCD 122514#5=1865719 (isbn 9781975327606); per-file gcd is the same v01 stamp, rejected
I 43903 cv=694006 gcd=1918341 0.95 | header pool v06: CV 108838#6=694006, GCD 122514#6=1918341 (isbn 9781975327613); per-file gcd is the same v01 stamp, rejected
I 43904 cv=701176 gcd=1926089 0.95 | header pool v07: CV 108838#7=701176, GCD 122514#7=1926089 (isbn 9781975327620); per-file gcd is the same v01 stamp, rejected
I 43905 cv=706695 gcd=1953331 0.95 | header pool v08: CV 108838#8=706695, GCD 122514#8=1953331 (isbn 9781975327637); per-file gcd is the same v01 stamp, rejected
I 43906 cv=711102 gcd=1975951 0.95 | header pool v09: CV 108838#9=711102, GCD 122514#9=1975951 (isbn 9781975327644); per-file gcd is the same v01 stamp, rejected
I 43907 cv=716721 gcd=2011055 0.95 | header pool v10: CV 108838#10=716721, GCD 122514#10=2011055 (isbn 9781975327651); per-file gcd is the same v01 stamp, rejected
I 43908 cv=723635 gcd=2027591 0.95 | header pool v11: CV 108838#11=723635, GCD 122514#11=2027591 (isbn 9781975327668); per-file gcd is the same v01 stamp, rejected
I 43909 cv=731122 gcd=2048329 0.95 | header pool v12: CV 108838#12=731122, GCD 122514#12=2048329 (isbn 9781975353131); per-file gcd is the same v01 stamp, rejected
I 43910 cv=736974 gcd=2069713 0.95 | header pool v13: CV 108838#13=736974, GCD 122514#13=2069713 (isbn 9781975353148); per-file gcd is the same v01 stamp, rejected
I 43911 cv=755675 gcd=2105543 0.95 | header pool v14: CV 108838#14=755675, GCD 122514#14=2105543 (isbn 9781975353155); per-file gcd is the same v01 stamp, rejected
I 43912 cv=802741 gcd=2149534 0.95 | header pool v15: CV 108838#15=802741, GCD 122514#15=2149534 (isbn 9781975353650); per-file gcd is the same v01 stamp, rejected

# Since I Could Die Tomorrow S15671 — CV count 3 vs GCD count 4; header pool corrects the reused stamp,
# v04 has no CV issue since the volume undercounts.
I 45338 cv=1052732 gcd=2622455 0.9 | header pool #1: CV 157812#1=1052732, GCD 208205#1=2622455; direct agreement
I 45339 cv=1052740 gcd=2622456 0.9 | header pool #2: CV 157812#2=1052740, GCD 208205#2=2622456; per-file gcd (2622455) is v01's stamp, rejected
I 45340 cv=1052741 gcd=2797190 0.9 | header pool #3: CV 157812#3=1052741, GCD 208205#3=2797190; per-file gcd is the same v01 stamp, rejected
I 45341 cv=- gcd=2797191 0.9 | header pool #4: no CV issue (the stored volume only caches 3), GCD 208205#4=2797191; per-file gcd was the same v01 stamp, rejected

# Skull-face Bookseller Honda-san S15735 — per-file CV correct per volume, per-file GCD is v01's id
# (2004725) stamped across all four.
I 43913 cv=714185 gcd=2004725 0.95 | header pool v01: CV 120344#1=714185, GCD 149120#1=2004725 (isbn 9781975358228); direct agreement
I 43914 cv=726453 gcd=2035747 0.95 | header pool v02: CV 120344#2=726453, GCD 149120#2=2035747 (isbn 9781975331405); per-file gcd (2004725) is v01's stamp, rejected
I 43915 cv=736975 gcd=2069717 0.95 | header pool v03: CV 120344#3=736975, GCD 149120#3=2069717 (isbn 9781975331436); per-file gcd is the same v01 stamp, rejected
I 43916 cv=759241 gcd=2106936 0.95 | header pool v04: CV 120344#4=759241, GCD 149120#4=2106936 (isbn 9781975308506); per-file gcd is the same v01 stamp, rejected

# Slam Dunk S15755 (Japanese edition, 0.9 per the shelf) — per-file CV is correct per volume, but per-file
# GCD is stamped with a WHOLLY WRONG series (101410) on every one of the thirty-one books; the stored
# 223470's own sequential 31-issue list is the pool.
I 43918 cv=386906 gcd=2732544 0.9 | header pool v01: CV 57424#1=386906, GCD 223470#1=2732544 (isbn 4-08-871611-6); per-file gcd (1567861/101410) is a wholly different series, rejected
I 43919 cv=386907 gcd=2732545 0.9 | header pool v02: CV 57424#2=386907, GCD 223470#2=2732545; per-file gcd is the same wrong series, rejected
I 43920 cv=386908 gcd=2732546 0.9 | header pool v03: CV 57424#3=386908, GCD 223470#3=2732546; per-file gcd is the same wrong series, rejected
I 43921 cv=386909 gcd=2732547 0.9 | header pool v04: CV 57424#4=386909, GCD 223470#4=2732547; per-file gcd is the same wrong series, rejected
I 43922 cv=386910 gcd=2732548 0.9 | header pool v05: CV 57424#5=386910, GCD 223470#5=2732548; per-file gcd is the same wrong series, rejected
I 43923 cv=386911 gcd=2732549 0.9 | header pool v06: CV 57424#6=386911, GCD 223470#6=2732549; per-file gcd is the same wrong series, rejected
I 43924 cv=386912 gcd=2732550 0.9 | header pool v07: CV 57424#7=386912, GCD 223470#7=2732550; per-file gcd is the same wrong series, rejected
I 43925 cv=386913 gcd=2732551 0.9 | header pool v08: CV 57424#8=386913, GCD 223470#8=2732551; per-file gcd is the same wrong series, rejected
I 43926 cv=386914 gcd=2732552 0.9 | header pool v09: CV 57424#9=386914, GCD 223470#9=2732552; per-file gcd is the same wrong series, rejected
I 43927 cv=386915 gcd=2732553 0.9 | header pool v10: CV 57424#10=386915, GCD 223470#10=2732553; per-file gcd is the same wrong series, rejected
I 43928 cv=386916 gcd=2732554 0.9 | header pool v11: CV 57424#11=386916, GCD 223470#11=2732554; per-file gcd is the same wrong series, rejected
I 43929 cv=386917 gcd=2732555 0.9 | header pool v12: CV 57424#12=386917, GCD 223470#12=2732555; per-file gcd is the same wrong series, rejected
I 43930 cv=386918 gcd=2732556 0.9 | header pool v13: CV 57424#13=386918, GCD 223470#13=2732556; per-file gcd is the same wrong series, rejected
I 43931 cv=386919 gcd=2732557 0.9 | header pool v14: CV 57424#14=386919, GCD 223470#14=2732557; per-file gcd is the same wrong series, rejected
I 43932 cv=386920 gcd=2732558 0.9 | header pool v15: CV 57424#15=386920, GCD 223470#15=2732558; per-file gcd is the same wrong series, rejected
I 43933 cv=386921 gcd=2732559 0.9 | header pool v16: CV 57424#16=386921, GCD 223470#16=2732559; per-file gcd is the same wrong series, rejected
I 43934 cv=386922 gcd=2732560 0.9 | header pool v17: CV 57424#17=386922, GCD 223470#17=2732560; per-file gcd is the same wrong series, rejected
I 43935 cv=386923 gcd=2732561 0.9 | header pool v18: CV 57424#18=386923, GCD 223470#18=2732561; per-file gcd is the same wrong series, rejected
I 43936 cv=386924 gcd=2732562 0.9 | header pool v19: CV 57424#19=386924, GCD 223470#19=2732562; per-file gcd is the same wrong series, rejected
I 43937 cv=386925 gcd=2732563 0.9 | header pool v20: CV 57424#20=386925, GCD 223470#20=2732563; per-file gcd is the same wrong series, rejected
I 43938 cv=386926 gcd=2732564 0.9 | header pool v21: CV 57424#21=386926, GCD 223470#21=2732564; per-file gcd is the same wrong series, rejected
I 43939 cv=386927 gcd=2732565 0.9 | header pool v22: CV 57424#22=386927, GCD 223470#22=2732565; per-file gcd is the same wrong series, rejected
I 43940 cv=386928 gcd=2732566 0.9 | header pool v23: CV 57424#23=386928, GCD 223470#23=2732566; per-file gcd is the same wrong series, rejected
I 43941 cv=386929 gcd=2732567 0.9 | header pool v24: CV 57424#24=386929, GCD 223470#24=2732567; per-file gcd is the same wrong series, rejected
I 43942 cv=386930 gcd=2732568 0.9 | header pool v25: CV 57424#25=386930, GCD 223470#25=2732568; per-file gcd is the same wrong series, rejected
I 43943 cv=386931 gcd=2732569 0.9 | header pool v26: CV 57424#26=386931, GCD 223470#26=2732569; per-file gcd is the same wrong series, rejected
I 43944 cv=386932 gcd=2732570 0.9 | header pool v27: CV 57424#27=386932, GCD 223470#27=2732570; per-file gcd is the same wrong series, rejected
I 43945 cv=386933 gcd=2732571 0.9 | header pool v28: CV 57424#28=386933, GCD 223470#28=2732571; per-file gcd is the same wrong series, rejected
I 43946 cv=386934 gcd=2732572 0.9 | header pool v29: CV 57424#29=386934, GCD 223470#29=2732572; per-file gcd is the same wrong series, rejected
I 43947 cv=386935 gcd=2732573 0.9 | header pool v30: CV 57424#30=386935, GCD 223470#30=2732573; per-file gcd is the same wrong series, rejected
I 43948 cv=386936 gcd=2732574 0.9 | header pool v31: CV 57424#31=386936, GCD 223470#31=2732574; per-file gcd is the same wrong series, rejected

# Smile Down the Runway S15795 — one leg only (gcd=-); per-file cv already correct.
I 45347 cv=717818 gcd=- 0.9 | per-file cv matches header #1 exactly (717818); shelf has no GCD leg (gcd=-, one leg plus our own naming/years)
I 45348 cv=720650 gcd=- 0.9 | per-file cv matches header #2 exactly (720650); shelf has no GCD leg (gcd=-)

# Snowball Earth S15830 — v01 direct agreement, v02's gcd corrected off the v01 stamp.
I 45349 cv=1051655 gcd=2630855 0.95 | per-file cv and gcd both match header #1 exactly: CV 157702#1=1051655, GCD 211502#1=2630855 (isbn 978-1-9747-4377-3); direct agreement
I 45350 cv=1063244 gcd=2650409 0.95 | per-file cv matches header #2 (1063244); GCD 211502#2=2650409 (isbn 978-1-9747-4615-6); per-file gcd (2630855) is v01's stamp, rejected

# Soul Eater S15928 — per-file CV lands on a foreign/older-edition twin volume (22462) on every book, and
# per-file GCD jumps between two wrong stamps (v01-4 use v01's own id, v05-25 jump to an unrelated series
# 149212); the stored 41324/97130's own 25-row lists supply both legs by ordinal.
I 39313 cv=279122 gcd=1533000 0.95 | header pool v01: CV 41324#1=279122, GCD 97130#1=1533000 (isbn 978-0-7595-3001-0); per-file cv (134840/22462) is a foreign/older-edition twin, rejected
I 39314 cv=279123 gcd=1533001 0.95 | header pool v02: CV 41324#2=279123, GCD 97130#2=1533001 (isbn 978-0-7595-3048-5); per-file cv is the same twin volume; per-file gcd (1533000) is v01's stamp, rejected
I 39315 cv=279124 gcd=1533002 0.95 | header pool v03: CV 41324#3=279124, GCD 97130#3=1533002 (isbn 978-0-7595-3064-5); per-file cv is the same twin volume; per-file gcd is the same v01 stamp, rejected
I 39316 cv=279125 gcd=1533003 0.95 | header pool v04: CV 41324#4=279125, GCD 97130#4=1533003 (isbn 978-0-7595-3127-7); per-file cv is the same twin volume; per-file gcd is the same v01 stamp, rejected
I 39317 cv=279126 gcd=1533004 0.95 | header pool v05: CV 41324#5=279126, GCD 97130#5=1533004 (isbn 978-0-316-07107-9); per-file cv is the same twin volume; per-file gcd jumps to a second wrong series (149212) here
I 39318 cv=279127 gcd=1533005 0.95 | header pool v06: CV 41324#6=279127, GCD 97130#6=1533005; per-file cv is the same twin volume; per-file gcd is the same second wrong series, rejected
I 39319 cv=317003 gcd=1533006 0.95 | header pool v07: CV 41324#7=317003, GCD 97130#7=1533006; per-file cv is the same twin volume; per-file gcd is the same second wrong series, rejected
I 39320 cv=317004 gcd=1533007 0.95 | header pool v08: CV 41324#8=317004, GCD 97130#8=1533007; per-file cv is the same twin volume; per-file gcd is the same second wrong series, rejected
I 39321 cv=336771 gcd=1533008 0.95 | header pool v09: CV 41324#9=336771, GCD 97130#9=1533008; per-file cv is the same twin volume; per-file gcd is the same second wrong series, rejected
I 39322 cv=352688 gcd=1533009 0.95 | header pool v10: CV 41324#10=352688, GCD 97130#10=1533009; per-file cv is the same twin volume; per-file gcd is the same second wrong series, rejected
I 39323 cv=367874 gcd=1533010 0.95 | header pool v11: CV 41324#11=367874, GCD 97130#11=1533010; per-file cv is the same twin volume; per-file gcd is the same second wrong series, rejected
I 39324 cv=381474 gcd=1533011 0.95 | header pool v12: CV 41324#12=381474, GCD 97130#12=1533011; per-file cv is the same twin volume; per-file gcd is the same second wrong series, rejected
I 39325 cv=395348 gcd=1533012 0.95 | header pool v13: CV 41324#13=395348, GCD 97130#13=1533012; per-file cv is the same twin volume; per-file gcd is the same second wrong series, rejected
I 39326 cv=418795 gcd=1533013 0.95 | header pool v14: CV 41324#14=418795, GCD 97130#14=1533013; per-file cv is the same twin volume; per-file gcd is the same second wrong series, rejected
I 39327 cv=418872 gcd=1533014 0.95 | header pool v15: CV 41324#15=418872, GCD 97130#15=1533014; per-file cv is the same twin volume; per-file gcd is the same second wrong series, rejected
I 39328 cv=426937 gcd=1533015 0.95 | header pool v16: CV 41324#16=426937, GCD 97130#16=1533015; per-file cv is the same twin volume; per-file gcd is the same second wrong series, rejected
I 39329 cv=435129 gcd=1533016 0.95 | header pool v17: CV 41324#17=435129, GCD 97130#17=1533016; per-file cv is the same twin volume; per-file gcd is the same second wrong series, rejected
I 39330 cv=444061 gcd=1533017 0.95 | header pool v18: CV 41324#18=444061, GCD 97130#18=1533017; per-file cv is the same twin volume; per-file gcd is the same second wrong series, rejected
I 39331 cv=449045 gcd=1533018 0.95 | header pool v19: CV 41324#19=449045, GCD 97130#19=1533018; per-file cv is the same twin volume; per-file gcd is the same second wrong series, rejected
I 39332 cv=454167 gcd=1533019 0.95 | header pool v20: CV 41324#20=454167, GCD 97130#20=1533019; per-file cv is the same twin volume; per-file gcd is the same second wrong series, rejected
I 39333 cv=461039 gcd=1533020 0.95 | header pool v21: CV 41324#21=461039, GCD 97130#21=1533020; per-file cv is the same twin volume; per-file gcd is the same second wrong series, rejected
I 39334 cv=466406 gcd=1533021 0.95 | header pool v22: CV 41324#22=466406, GCD 97130#22=1533021; per-file cv is the same twin volume; per-file gcd is the same second wrong series, rejected
I 39335 cv=474696 gcd=1533022 0.95 | header pool v23: CV 41324#23=474696, GCD 97130#23=1533022; per-file cv is the same twin volume; per-file gcd is the same second wrong series, rejected
I 39336 cv=477725 gcd=1533023 0.95 | header pool v24: CV 41324#24=477725, GCD 97130#24=1533023; per-file cv is the same twin volume; per-file gcd is the same second wrong series, rejected
I 39337 cv=483271 gcd=1533024 0.95 | header pool v25: CV 41324#25=483271, GCD 97130#25=1533024; per-file cv is the same twin volume; per-file gcd is the same second wrong series, rejected

# Soul Eater NOT! S15929 — same shape as the parent shelf: per-file CV is a different volume (135039) on
# every book, per-file GCD wanders across three different wrong series.
I 39308 cv=347290 gcd=1918342 0.95 | header pool #1: CV 50770#1=347290, GCD 139793#1=1918342; per-file cv (841065/135039) is a different volume, rejected
I 39309 cv=367875 gcd=1918343 0.95 | header pool #2: CV 50770#2=367875, GCD 139793#2=1918343; per-file cv is the same wrong volume; per-file gcd (1918342) is #1's id reused as a stamp
I 39310 cv=461040 gcd=1918344 0.95 | header pool #3: CV 50770#3=461040, GCD 139793#3=1918344; per-file cv is the same wrong volume; per-file gcd (1552133/99032) is a second wrong series, rejected
I 39311 cv=474697 gcd=1918345 0.95 | header pool #4: CV 50770#4=474697, GCD 139793#4=1918345; per-file cv is the same wrong volume; per-file gcd (2001873/149213) is a third wrong series, rejected
I 39312 cv=495732 gcd=1918346 0.95 | header pool #5: CV 50770#5=495732, GCD 139793#5=1918346; per-file cv is the same wrong volume; per-file gcd is the same third wrong series, rejected
