# R-190 — identity-pass wrap-up: 39 file-holding shelves had NO winning decision because a landed merge made them the
# SURVIVOR of a shelf that was decided under its old id (Criminal S96188 -> S4343 and the like), so identity_coverage counted
# them UNDECIDED. Each is restated here from the merged-in shelf's winning S line (same ids, same confidence; spent
# merge-with / partial-rip lines dropped because the merge has happened); two that no line covered were read now.

S 5890 cv=102846 gcd=115540 0.95 | restated from B-020 S96610 (merged into this shelf): our seven trades collect one run and both legs hold it: CV 102846 (IDW 2017, 21) and the GCD per-file series 115540 (IDW 2017-2019, 21); the judged ranges run #1-2, #3-5, #6-7, #8-10, #11-13, #14-16, #17-20, i.e. inside those 21 issues
S 64890 cv=2178 gcd=1623 0.95 | restated from B-012 S94619 (merged into this shelf): CV 2178 "Hawkman" (DC 1964, 27) and GCD 1623 (DC 1964-1968, 27) agree on publisher, span and count, and our ladder is a complete 1-27; the per-file matcher put 17 of the 27 on the 2002 volume by issue number alone
S 65805 cv=2555 gcd=2033 0.95 | restated from B-013 S94707 (merged into this shelf): CV 2555 "Supergirl" (DC 1972, 10) and GCD 2033 (DC 1972-1974, was ongoing series, 10) agree on publisher, span and count, and our ten files are a complete ladder 1-10 with ComicInfo Count 10
S 102453 cv=26326 gcd=34078 0.95 | restated from R-037 S65436 (merged into this shelf): the KEPT half is "Power Girl 01-04" from the Post-Crisis read-order folder "05 Power Girl Volume 1": CV 26326 (DC 2009, 27) and GCD 34078 (DC 2009-2011, 27) agree, per-file CV 4/4; its #8-10 2024 files have left for S99357
S 64726 cv=2838 gcd=2326 0.95 | restated from B-014 S96991 (merged into this shelf): CV 2838 "Freedom Fighters" (DC 1976, 15) and GCD 2326 (DC 1976-1978, 15) agree on publisher, span and count, and our fifteen files are a complete ladder 1-15
S 65627 cv=2891 gcd=2382 0.9 | restated from C-063 S94695 (merged into this shelf): CV 2891 and GCD 2382 "Shade, the Changing Man" both 1977-1978 DC count 8, matched per-file on 8/9 files; the per-file CV pick (4375, the 1990 relaunch) is the wrong-relaunch trap on the remaining file
S 1445 cv=3108 gcd=2621 0.95 | restated from B-009 S95186 (merged into this shelf): CV 3108 "Atari Force" (DC 1982, 5) and GCD 2621 (DC 1982-1983, 5, indexed as a giveaway) agree on publisher, span and count, and our ladder 1-5 is that promotional run — the sixth file is a second rip of #3
S 2117 cv=34242 gcd=50862 0.95 | restated from B-010 S95389 (merged into this shelf): CV 34242 "Batman: Odyssey" (DC 2010, 6) and GCD 50862 (DC 2010-2011, miniseries, 6) agree on publisher, span and count, and our six files name themselves "01 (of 06)" through "06 (of 06)"
S 14531 cv=3456 gcd=2990 0.95 | restated from B-009 S99468 (merged into this shelf): CV 3456 "Red Tornado" (DC 1985, 4) and GCD 2990 (DC 1985, limited series, 4) agree on publisher, year and count, and our ladder 1-4 is the whole mini
S 16887 cv=34760 gcd=18520 0.95 | restated from B-057 S11476 (merged into this shelf): the eleven files are Doctor Strange Masterworks Vol. 01-11 and both legs carry the LINE: CV 34760 "Marvel Masterworks: Doctor Strange" 2003 Marvel 11 (issues "Volume 1" to "Volume 11") and GCD 18520 same name 2003-2024 Marvel [collected edition] 12, every one of our volumes matching its row by number and page count within 20
S 5602 cv=3787 gcd=3354 0.95 | restated from B-012 S96489 (merged into this shelf): CV 3787 "Doctor Fate" (DC 1987) and GCD 3354 (DC 1987, limited series, 4) agree on publisher and year, and our four files are a complete ladder 1-4 of that 1987 miniseries
S 66070 cv=3814 gcd=3384 0.9 | restated from B-014 S100909 (merged into this shelf): CV 3814 "The Spectre" (DC 1987, 31) and GCD 3384 (DC 1987-1989, 31) agree on publisher, span and count, and thirty-one of our files carry ComicInfo Volume 1987; the 1988 Annual is a different record, which is the residue
S 65020 cv=4747 gcd=4407 0.95 | restated from B-012 S98028 (merged into this shelf): CV 4747 "Justice Society of America" (DC 1992, 10) and GCD 4407 (DC 1992-1993, 10) agree on publisher, span and count, and our ladder is a complete 1-10; the per-file matcher split half the shelf onto the 2007 volume by issue number
S 5248 cv=5164 gcd=4868 0.9 | restated from C-063 S96346 (merged into this shelf): CV 5164 and GCD 4868 "Deathblow" both 1993-1996 Image count 30, matched per-file on 8/9 files
S 4734 cv=5242 gcd=4952 0.95 | restated from B-011 S96236 (merged into this shelf): CV 5242 "Damage" (DC 1994) and GCD 4952 (DC 1994-1996, 21) agree on publisher and span, our ladder 1-5 and 7-20 sits inside them, and all nineteen files' ComicInfo asserts Series "Damage", Volume 1994, Count 20, Publisher DC Comics
S 16829 cv=5260 gcd=4972 0.95 | restated from B-013 S100023 (merged into this shelf): CV 5260 "Steel" (DC 1994, 53) and GCD 4972 (DC 1994-1998, 53) agree on publisher, span and count, and our fifty-three files are a complete ladder 0-52 with ComicInfo Count 52
S 8924 cv=67043 gcd=76395 0.95 | restated from B-004 S97609 (merged into this shelf): CV 67043 "Hit" 2013 Boom and GCD 76395 "Hit" 2013-2013 Boom! Studios ([Mini-Series] 4) agree on year and publisher, GCD's count 4 matches our ladder 1-4 and the "(of 04)" in every filename, and the per-file GCD method is num on all four files; the folder "Hit v1 (2013)" separates this from the 2014 Hit sequel
S 5674 cv=75900 gcd=81995 0.95 | restated from B-067 S96499 (merged into this shelf): the run wins: CV 75900 "Doctor Who: The Tenth Doctor" 2014 Titan Comics count 15 and GCD 81995 of the same title [en-gb] 2014-2015 Titan count 15 agree on publisher, span and count, and our three trades are judged #1-5, #6-10 and #11-15 — exactly the fifteen issues of that run
S 5664 cv=75901 gcd=81992 0.95 | restated from C-061 S96497 (merged into this shelf): CV 75901 "Doctor Who: The Eleventh Doctor" 2014 Titan Comics count 15 matched per-file on all 7 files; GCD splits into the ongoing row 81992 (issues, 5/7) and the collected-editions row 95180 (trades, 2/7) — same comic, both legs agree on title/publisher/year
S 5678 cv=77596 gcd=83664 0.95 | restated from C-061 S96501 (merged into this shelf): CV 77596 "Doctor Who: The Twelfth Doctor" matched per-file on all 8 files; GCD splits issues (83664, 6/8) and trades (111484, 1/8), same comic
S 11044 cv=86704 gcd=94818 0.9 | restated from C-062 S98263 (merged into this shelf): CV 86704 "Lucifer" 2015 DC Comics count 19 and GCD 94818 (2016-2017, count 19) are the underlying run our 3 trades collect; the per-file CV pick (114408, the 2018 continuation) and GCD's collected-edition trap (105500) are rejected
S 15078 cv=96158 gcd=109837 0.95 | restated from B-068 S99675 (merged into this shelf): the run wins: CV 96158 "Savage" 2016 Valiant count 4 and GCD 109837 "Savage" 2016-2017 Valiant Entertainment count 4 agree on publisher, span and count, and our 131pp file is the collected edition of that first four-issue mini, which the folder's own "v1 (2016)" names
S 64837 cv=97419 gcd=111013 0.9 | restated from C-064 S97366 (merged into this shelf): CV 97419 and GCD 111013 both "Grimm Fairy Tales" 2016 Zenescope Entertainment agree on year/publisher and GCD matched per-file on 19/21 files; the CV 19824 (2005 legacy volume, matched 11/21) is the wrong-relaunch trap, rejected

S 1045 cv=140293 gcd=178865 0.95 | the shelf holds only "COL Animal Castle Vol. 01 (2022)" 142pp, the first trade of Animal Castle (Ablaze 2021-2022): CV 140293 (5 issues) and GCD 178865 (Ablaze 2021-2022, 5) agree on the run it collects; run-wins over the trade's own records
I 4650 cv=971877 gcd=2426947 isbn=- 0.95 | the trade's own record: CV 148293 "Animal Castle" (Ablaze 2022, 1) issue 971877 (2022-09-01) = GCD 188498 issue 2426947 (2022-08-24)
S 64664 cv=3842 gcd=3414 0.95 | "Fallen Angels 01-08 (of 08) (1987)" = Fallen Angels (Marvel 1987, 8 issues): CV 3842 and GCD 3414 agree on publisher, year and count, per-file on 8/8; our ladder is complete
