# R-152 - identity revisit of wave 147's split shelves (P-062: the Defenders / Doctor Strange / Fantastic Four / Daredevil families) plus S64767 Ghost Rider, S5304 Defenders by Fraction and S20617 Ultimate Fantastic Four Collection.
# Folder shape: Marvel\_<Family>\NN <Title> vN (<year>) run folders, with _Epic Collections / _Omnibus Editions / Trades beside them, and event-filed second rips under _Marvel Major Event Chronology and _X-Men Complete Chronology V2.
# Surprises: S64767 still holds five Ghost Rider (1990) chronology issues (#26-27, #29, #67-68, "Ghost Rider v2" = CV's Vol. 2) besides the three strays the lead named; S64591 holds the two 2023 "Doctor Strange by Mark Waid" books, which collect the 2018 run S5642 stores; C-044 wrote VOLUME ids in two Ghost Rider I lines (80257, 80223), fixed below.
# Earlier I / C lines on these books are restated (with upgrades) so this file carries every book's own record.

S 5305 cv=- gcd=106500 0.9 | the Defenders Epic Collection LINE (L-109 / L-392): GCD 106500 (Marvel 2016-?, 7 rows) holds all six of our books by volume number, subtitle and ISBN - Vol. 01 row 2468432, Vol. 02 row 2638133 (joined from S5307 / S5306 in P-062), Vol. 06-09 rows 1623796 / 1730405 / 1836098 / 2105311, each 3-8pp under print; ComicVine mints a count-1 volume per book (147058, 158646, 93423, 103812, 112801, 123717), so the line has no CV id
S 5628 cv=- gcd=108389 0.9 | the Doctor Strange Epic Collection LINE (L-109 / L-392): GCD 108389 (Marvel 2016-?, 11 rows) holds all ten of our books Vol. 01-05, 08-11 and 13 by volume number, subtitle and ISBN (rows 1858736 / 2595214 / 1639526 / 2197311 / 2357688 / 2091119 / 2258755 / 2426198 / 2494222 / 1741369, each 4-18pp under print; Vol. 03 / 04 / 09 / 10 joined from S5629-S5632 in P-062); the line reprints Strange Tales, Doctor Strange 1968 / 1974, Marvel Premiere and Sorcerer Supreme - several runs - and ComicVine mints a count-1 volume per book, so no CV line id
N 5628 Epic Collections are kept as LINES pending Eric's open question; each book's range in the run it reprints is on its C lines
I 79045 cv=689042 gcd=1858736 isbn=978-1-302-91138-6 0.95 | "Doctor Strange Epic Collection Vol. 01 - Master of the Mystic Arts (2018)" 397pp = CV 114415 issue 689042 "Volume 1" and GCD 108389 #1 row 1858736 (408pp) - replaces the duplicate CV 626281 (Vol. 13's)
C 79045 cv=18066 gcd=824 #114-146 0.95 | Vol. 01 collects the Doctor Strange stories of Strange Tales (Marvel 1951-1968, 168 issues; CV 18066 / GCD 824) #114-146 per GCD row 1858736's roll-up (72 stories); #110-111 on the N
N 79045 also collects Strange Tales #110-111 (the first two Doctor Strange stories, before the #112-113 gap)
I 79046 cv=1040078 gcd=2595214 isbn=978-1-302-95315-7 0.95 | "Vol. 02 - I, Dormammu (2024)" 495pp = CV 156018 issue 1040078 "Volume 2" and GCD 108389 #2 row 2595214 (508pp)
C 79046 cv=18066 gcd=824 #147-168 0.95 | Vol. 02 collects the Doctor Strange stories of Strange Tales (Marvel 1951-1968, 168 issues; CV 18066 / GCD 824) #147-168 per GCD row 2595214's note
C 79046 cv=2403 gcd=1863 #169-179 0.95 | Vol. 02 also collects Doctor Strange (Marvel 1968-1969, 15 issues; CV 2403 / GCD 1863) #169-179 per GCD row 2595214's note
I 79047 cv=553957 gcd=1639526 isbn=978-0-7851-9444-6 0.95 | "Doctor Strange Epic Collection Vol. 03 - A Separate Reality (2016)" 461pp = CV 95006 issue 553957 "Volume 3" and GCD 108389 #3 row 1639526 (476pp)
C 79047 cv=2575 gcd=2055 #3-14 0.95 | Vol. 03 collects the Doctor Strange stories of Marvel Premiere (Marvel 1972-1981, 61 issues; CV 2575 / GCD 2055) #3-14 per GCD row 1639526's roll-up (24 stories)
C 79047 cv=2676 gcd=2162 #1-5 0.95 | Vol. 03 also collects Doctor Strange (Marvel 1974-1987, 81 issues; CV 2676 / GCD 2162) #1-5 per the same roll-up (11 stories)
C 79047 cv=2403 gcd=1863 #180-183 0.95 | Vol. 03 also collects Doctor Strange (Marvel 1968-1969, 15 issues; CV 2403 / GCD 1863) #180-183 per the same roll-up (9 stories)
I 79048 cv=826677 gcd=2197311 isbn=978-1-302-92199-6 0.95 | "Doctor Strange Epic Collection Vol. 04 - Alone Against Eternity (2021)" 483pp = CV 133481 issue 826677 "Volume 4" and GCD 108389 #4 row 2197311 (492pp)
C 79048 cv=2676 gcd=2162 #6-28 0.95 | Vol. 04 collects Doctor Strange (Marvel 1974-1987, 81 issues; CV 2676 / GCD 2162) #6-28 per GCD row 2197311's note, plus Dr. Strange Annual #1 and Tomb of Dracula #44
I 79049 cv=921430 gcd=2357688 isbn=978-1-302-93357-9 0.95 | "Vol. 05 - The Reality War (2022)" 504pp = CV 142793 issue 921430 "Volume 5" and GCD 108389 #5 row 2357688 (508pp)
C 79049 cv=2676 gcd=2162 #29-51 0.95 | Vol. 05 collects Doctor Strange (Marvel 1974-1987, 81 issues; CV 2676 / GCD 2162) #29-51 per GCD row 2357688's roll-up (48 stories) and the judged range
I 79050 cv=723756 gcd=2091119 isbn=978-1-302-92056-2 0.95 | "Vol. 08 - Triumph and Torment (2019)" 484pp = CV 122194 issue 723756 "Volume 8" and GCD 108389 #8 row 2091119 (492pp)
C 79050 cv=4049 gcd=3645 #1-13 0.95 | Vol. 08 collects Doctor Strange, Sorcerer Supreme (Marvel 1988-1996, 90 issues; CV 4049 / GCD 3645) #1-13 per GCD row 2091119's note, plus the Triumph and Torment graphic novel
I 79051 cv=883355 gcd=2258755 isbn=978-1-302-93074-5 0.95 | "Doctor Strange Epic Collection Vol. 09 - The Vampiric Verses (2021)" 490pp = CV 138724 issue 883355 "Volume 9" and GCD 108389 #9 row 2258755 (508pp)
C 79051 cv=4049 gcd=3645 #13-33 0.9 | Vol. 09 collects Doctor Strange, Sorcerer Supreme (Marvel 1988-1996, 90 issues; CV 4049 / GCD 3645) #13-33 per GCD row 2258755's roll-up (54 stories); #13 also closes Vol. 08, so 0.9
I 79052 cv=945891 gcd=2426198 isbn=978-1-302-94537-4 0.95 | "Doctor Strange Epic Collection Vol. 10 - Infinity War (2022)" 470pp = CV 144899 issue 945891 "Volume 10" and GCD 108389 #10 row 2426198 (482pp)
C 79052 cv=4049 gcd=3645 #34-47 0.95 | Vol. 10 collects Doctor Strange, Sorcerer Supreme (Marvel 1988-1996, 90 issues; CV 4049 / GCD 3645) #34-47 per GCD row 2426198's roll-up (48 stories), plus Sorcerer Supreme Annual #2
I 79053 cv=973785 gcd=2494222 isbn=978-1-302-95105-4 0.95 | "Vol. 11 - Nightmare on Bleecker Street (2023)" 480pp = CV 148628 issue 973785 "Volume 11" and GCD 108389 #11 row 2494222 (492pp)
C 79053 cv=4049 gcd=3645 #48-61 0.95 | Vol. 11 collects Doctor Strange, Sorcerer Supreme (Marvel 1988-1996, 90 issues; CV 4049 / GCD 3645) #48-61 per GCD row 2494222's roll-up (49 stories), plus Sorcerer Supreme Annual #3
I 79054 cv=626281 gcd=1741369 isbn=978-1-302-90789-1 0.95 | "Vol. 13 - Afterlife (2017)" 482pp = CV 104784 issue 626281 "Volume 13" and GCD 108389 #13 row 1741369 (500pp) - Afterlife's own CV id (the old 0.7 flagged it as a duplicate because Vol. 01 had borrowed it)
C 79054 cv=4049 gcd=3645 #76-90 0.95 | Vol. 13 collects Doctor Strange, Sorcerer Supreme (Marvel 1988-1996, 90 issues; CV 4049 / GCD 3645) #76-90 per GCD row 1741369's roll-up (41 stories) and the judged range

S 104179 cv=73101 gcd=80199 0.95 | Ultimate FF (2014): CV 73101 (Marvel 2014, 6, cached #1-6 "Doomed" .. #6) and GCD 80199 (Marvel 2014, 6 rows 1197885-1246808) agree on publisher, year and count; our "Ultimate FF 001-006 (2014)" (folder "Ultimate Fantastic Four (2004)\02 Ultimate FF (2014)", per-file CV 73101 / GCD 80199 x6) is the whole run, ladder 1-6
F 104179 needs-fetch cv=73101 | Ultimate FF (2014) CV 73101 is named from the local rip and has no CvVolume row

S 104171 cv=43057 gcd=- 0.9 | the one-shot FF: 50 Fantastic Years: CV 43057 (Marvel 2011, 1 issue 293849) matches our lone 69pp "FF 50 Fantastic Years 001" (filed under _Trades, Minis and One-shots) by exact title and count; GCD has no series of that name (probed "FF: 50 Fantastic Years", "FF 50 Fantastic Years", "Fantastic Four: 50 Fantastic Years") and the per-file GCD 56740 is Hickman's FF 2011, a stamp - one leg plus our own naming, so 0.9
F 104171 needs-fetch cv=43057 | FF: 50 Fantastic Years CV 43057 is named from the local rip and has no CvVolume row
I 80021 cv=293849 gcd=- isbn=- 0.9 | "FF 50 Fantastic Years 001 (2010)" 69pp = CV 43057 "FF: 50 Fantastic Years" issue 293849 (2011-11-30); GCD has no row under that title

S 6365 cv=54295 gcd=70167 0.95 | FF (2013-2014, Fraction / Allred): CV 54295 (Marvel 2013, 16, cached) and GCD 70167 (Marvel 2013-2014, 16) agree on publisher, span and count; our "FF 001-016 (2013-2014)" in "07 Matt Fraction's Fantastic Four (2013)\FF (2013)" fill it exactly, and the 1pp Skottie Young 'Baby' cover of #1 costs nothing; the Ultimate FF (2014) issues and the 50 Fantastic Years one-shot left for S104179 / S104171 in P-062, so the two runs no longer share #1-6
I 51949 cv=370244 gcd=1036082 isbn=- 0.9 | "FF 001 (2013) (Skottie Young 'Baby' Variant) (Cover ONLY) (ScanDog+Art" 1pp is FF (2013) #1: CV 54295 #1 issue 370244 and GCD 70167 #1 row 1036082 - the per-file links were cv 39453 / gcd 70167

S 104168 cv=44363 gcd=62406 0.95 | Defenders (2012-2013): CV 44363 (Marvel 2012, 12, cached) and GCD 62406 (Marvel 2012-2013, 12) agree on publisher, year and count; our "Defenders 001-003 (2012)" 23pp each (Fear Itself "03 Shattered Heroes\The Defenders" folder, per-file CV 44363 / GCD 62406 x3) sit inside #1-12
F 104168 merge-with=5304 | S5304 "Defenders By Matt Fraction" (the two trades collecting #1-6 / #7-12) carries the same CV 44363 on its S line (R-150, restated below): the run's issues meet its trades through the shared cv, never by a join onto the creator-trade key (L-389)
F 104168 needs-fetch cv=44363 | Defenders (2012) CV 44363 is named from the local rip and has no CvVolume row

S 64562 cv=2569 gcd=2048 0.9 | The Defenders (1972-1986): CV 2569 (Marvel 1972, 152, cached #1-152) and GCD 2048 (Marvel 1972-1986, 152) agree on publisher, span and count; our ladder #1-5, #7-91 (folder "Defenders v1 (1972)", ComicInfo Volume 1972 x30, per-file CV 2569 on 81/97) sits inside, the doubled #1 / #15-16 / #26-29 are X-Men Complete Chronology and Guardians "Misc" second rips ("Defenders-v1-026..029"); the 2012 issues left for S104168 in P-062; 0.9 for the 1976 Defenders Annual one-shot (CV 22555 / GCD 2344, no annual shelf, L-391)
I 78642 cv=135339 gcd=30309 isbn=- 0.95 | "Defenders Annual 001 (1972)" 36pp = the Defenders Annual #1 one-shot (1976): CV 22555 issue 135339 "World gone sane?" and GCD 2344 row 30309 (1976-08-04, 52pp) - replaces the per-file GCD 7145 (Defenders 2001) stamp

S 96494 cv=85094 gcd=92881 0.95 | Doctor Strange (2015-2018): CV 85094 (Marvel 2015, 37 = #1-26, #1.MU, legacy #381-390) and GCD 92881 (Marvel 2015-2018, 37) agree on publisher, span and count; our five trades Vol. 01-05 (judged #1-5, #6-10, #11-16, #17-20, #21-26 - 5 of 5 fit) are this run's own editions in "05 Doctor Strange v4 (2015)", and the Secret Empire floppies #21-24 and the Monsters Unleashed #1.MU that joined from S64590 in P-062 sit inside the cached span
N 96494 GCD keeps two lines of these trades - 100622 (Vol. 01-04 by page count) and the TPB line 110053 (#5 Secret Empire); each book's row is on its I line
I 78982 cv=527140 gcd=1562783 isbn=978-0-7851-9516-0 0.9 | "Doctor Strange Vol. 01 - The Way of the Weird (2016)" 126pp = CV 89928 issue 527140 "Volume 1" and GCD 100622 #1 row 1562783 (144pp; the 110053 TPB row 1657584 is 140pp - both fit, so 0.9)
I 78983 cv=552160 gcd=1676294 isbn=978-0-7851-9517-7 0.9 | "Vol. 02 - The Last Days of Magic (2016)" 162pp = CV 94623 issue 552160 "Volume 2" and GCD 100622 #2 row 1676294 (176pp; TPB row 1718652 172pp)
I 78984 cv=582525 gcd=1676300 isbn=978-1-302-90299-5 0.9 | "Vol. 03 - Blood In The Aether (2017)" 144pp = CV 99031 issue 582525 "Volume 3" and GCD 100622 #3 row 1676300 (144pp; the TPB row 1745199 is 140pp, 4pp short of our rip)
I 78985 cv=622938 gcd=1735452 isbn=978-1-302-90586-6 0.9 | "Vol. 04 - Mr. Misery (2017)" 140pp = CV 104468 issue 622938 "Volume 4" and GCD 100622 #4 row 1735452 (144pp "Mr. Misery Premiere"; the TPB row 1771202 is 120pp, 20pp short of our rip)
I 78986 cv=652628 gcd=1775182 isbn=978-1-302-90589-7 0.95 | "Vol. 05 - Secret Empire (2018)" 140pp = CV 107646 "Doctor Strange: Secret Empire" issue 652628 "Volume 5" and GCD 110053 #5 row 1775182 "Secret Empire" (140pp, ISBN 978-1-302-90589-7) - replaces the stored row 1657584 (another book)
I 101938 cv=581555 gcd=1675031 isbn=- 0.95 | "Doctor Strange 001.MU (2017) (Digital) (Zone-Empire).cbr" 34pp is Doctor Strange (2015) #1.MU: CV 85094 #1.MU issue 581555 and GCD 92881 #1.MU row 1675031 - the per-file links were cv 2676 / gcd 119031

S 64591 cv=148962 gcd=197924 0.9 | Doctor Strange (2023-2024, MacKay): CV 148962 (Marvel 2023, 18, cached #1-18) and GCD 197924 (Marvel 2023-2024, 18, legacy #427-444) agree on publisher, span and count; our #15-17 floppies (joined in P-062), the 1pp MikeNY76 variant covers of #2-18 ("14 Doctor Strange v6 (2023)\Variant Covers" and Blood Hunt covers) and the three "Doctor Strange by Jed MacKay" trades (CV 153916 / GCD 204468, Vol. 01-03 = the run's #1-18) are this run; 0.9 for the two 2023 "Doctor Strange by Mark Waid" books, which collect the 2018 run S5642 stores, split below
F 64591 split-needed | items 78994 ("Doctor Strange by Mark Waid Book 01 (2023)" 256pp, GCD 206999 row 2589919 collects s125730 #1-11) and 78995 (Book 02 (2024) 365pp, row 2649065 collects s125730 #12-20 + Dr. Strange 2020 #1-3) are Deluxe editions of Doctor Strange (2018), CV 111415 / GCD 125730, the run S5642 stores (stored cv=111415, S line R-149 cv=111415 gcd=125730, holding the four "Doctor Strange by Mark Waid" Vol. 01-04 trades) -> join S5642 on its key "Doctor Strange by Mark Waid" (L-388: two books of a run that has a shelf are misfiled books); checker anchor only: S5642 is outside this batch
N 64591 the per-file CV 2676 (Doctor Strange 1974) on 19 of 40 files is a number stamp on the 1pp covers; the per-file GCD 206421 is Panini Deutschland's edition - neither is this shelf's run
I 78994 cv=1036039 gcd=2589919 isbn=978-1-302-95287-7 0.95 | "Doctor Strange by Mark Waid Book 01 (2023)" 256pp = CV 155525 #1 issue 1036039 "Volume 1" and GCD 206999 #1 row 2589919 (268pp, 2023-12-20)
C 78994 cv=111415 gcd=125730 #1-11 0.95 | Book 01 collects Doctor Strange (Marvel 2018-2019, 20 issues; CV 111415 / GCD 125730) #1-11 per GCD row 2589919's roll-up (12 stories) and the judged range
I 78995 cv=1065660 gcd=2649065 isbn=978-1-302-95577-9 0.95 | "Doctor Strange by Mark Waid Book 02 (2024)" 365pp = CV 155525 #2 issue 1065660 "Volume 2" and GCD 206999 #2 row 2649065 (380pp, 2024-07-31)
C 78995 cv=111415 gcd=125730 #12-20 0.95 | Book 02 collects Doctor Strange (Marvel 2018-2019, 20 issues; CV 111415 / GCD 125730) #12-20 per GCD row 2649065's roll-up (9 stories) and the judged range
C 78995 gcd=153707 #1-3 0.95 | Book 02 also collects Dr. Strange (Marvel 2020, GCD 153707, 6 issues) #1-3 per GCD row 2649065's roll-up (6 stories), plus Doctor Strange Annual (2019) #1
I 79010 cv=1020814 gcd=2571090 isbn=978-1-302-95116-0 0.95 | "Doctor Strange by Jed MacKay Vol. 01 - The Life of Doctor Strange (2023)" 137pp = CV 153916 #1 issue 1020814 "Volume 1: The Life of Doctor Strange" and GCD 204468 #1 row 2571090 (140pp, 2023-10-04) - replaces A-023's series-only gcd=s204468
I 79011 cv=1048918 gcd=2616791 isbn=978-1-302-95117-7 0.95 | "Doctor Strange by Jed MacKay Vol. 02 - The War-Hound of the Vishanti (2024)" 116pp = CV 153916 #2 issue 1048918 "Volume 2" and GCD 204468 #2 row 2616791 (116pp, 2024-03-20, an exact page match) - the book had no I line
I 79012 cv=1079413 gcd=2681869 isbn=978-1-302-95480-2 0.95 | "Doctor Strange By Jed Mackay Vol. 03 - Blood Hunt (2025)" 179pp = CV 153916 #3 issue 1079413 "Volume 3: Blood Hunt" and GCD 204468 #3 row 2681869 (180pp, 2024-11-27) - replaces A-023's series-only gcd=s204468

S 64590 cv=2676 gcd=2162 0.9 | Doctor Strange (1974-1987): CV 2676 (Marvel 1974, 81, cached #1-81) and GCD 2162 (Marvel 1974-1987, 81) agree on publisher, span and count; our ladder #1-66, #68-81 (folder "02 Doctor Strange v2 (1974)", ComicInfo Volume 1974 x14, Web 21297 / 21438 / 21591 / 21727 on the Marika rips; per-file CV 2676 on 77/81) sits inside; the 2015 and 2023 strays left for S96494 / S64591 in P-062; 0.9 for the 1976 Dr. Strange Annual one-shot (GCD 2345)
I 79973 cv=- gcd=29379 isbn=- 0.9 | "Doctor Strange Annual 001 (1974)" 36pp = the 1976 Dr. Strange Annual #1 one-shot: GCD 2345 "Dr. Strange Annual" row 29379 (1976-10-19, 52pp); ComicVine's rip holds no volume for it (probed "Doctor Strange Annual" / "Dr. Strange Annual")

S 94595 cv=6211 gcd=11218 0.9 | Fantastic Four (1998-2011): CV 6211 (Marvel 1998, 173, cached #1-70, #500-611) and GCD 11218 (Marvel 1998-2011, 160, #1-70 then legacy #500 on) agree on publisher, span and count; our #45-70 ("03 Fantastic Four v3 (1998)"), #500-571 ("04 Fantastic Four v1 (2003)", ComicInfo Volume 1998 x28) and the event-filed #15, #21-23, #49-70, #500-550, #579-582 that joined from S64669 in P-062 all sit inside, and the JMS trade twice (s11218 #527-532) is the run's own; 0.9 for the four one-shot annuals 1998-2001 (Fantastic Four / Fantastic 4 '98, 1999, 2000, 2001 - each its own record, no annual shelf, L-391)
F 94595 wrong-cv-link | per-file CV 2045 (the 1961 volume) on the #500+ files and GCD 1482 on the #45-70 files are legacy-number stamps; each file's own number sits in CV 6211 / GCD 11218
I 79604 cv=259825 gcd=351576 isbn=- 0.95 | "Fantastic Four by J. Michael Straczynski (2016)" 145pp = CV 38750 issue 259825 "HC/TPB" and GCD 23365 row 351576 (152pp; roll-up s11218 #527-532)
C 79604 cv=6211 gcd=11218 #527-532 0.95 | the JMS book collects Fantastic Four (Marvel 1998-2011; CV 6211 / GCD 11218) #527-532 per GCD row 351576's roll-up (14 stories)
I 80019 cv=259825 gcd=351576 isbn=- 0.95 | "Fantastic Four by J, Michael Straczynski (2006)" 145pp, a second rip of the same book = CV 38750 issue 259825 and GCD 23365 row 351576 (152pp) - replaces the X- pass's series-only 0.7
C 80019 cv=6211 gcd=11218 #527-532 0.95 | the second rip collects Fantastic Four (Marvel 1998-2011; CV 6211 / GCD 11218) #527-532 per GCD row 351576's roll-up (14 stories)
I 79175 cv=138969 gcd=68738 isbn=- 0.9 | "Fantastic Four Annual 028 (1998)" 42pp is the 1998 annual "Fantastic Four / Fantastic 4 '98": CV 60493 issue 138969 "In the Best of Families" and GCD 7723 row 68738 (54pp) - the exact slash title recovers the record R-149's probes missed; 0.9 for the 12pp gap
I 79176 cv=111017 gcd=62430 isbn=- 0.95 | "Fantastic Four Annual 029 (1999)" 37pp is the 1999 annual "Fantastic Four 1999": CV 60494 issue 111017 "The Keys to the Kingdom" and GCD 6185 row 62430 (62pp) - replaces the Panini France stamp
I 79177 cv=138970 gcd=63106 isbn=- 0.95 | "Fantastic Four Annual 030 (2000)" 38pp is "Fantastic Four 2000": CV 60495 issue 138970 "Betrayal" and GCD 6297 row 63106 (52pp) - replaces the Panini France stamps
I 79178 cv=138971 gcd=74505 isbn=- 0.95 | "Fantastic Four Annual 031 (2001)" 35pp is "Fantastic Four 2001": CV 60496 issue 138971 "The Devil You Know" and GCD 9783 row 74505 (52pp) - replaces the GCD 18171 (a 2003 trade line) stamp

S 103758 cv=2129 gcd=1572 0.9 | Fantastic Four Annual (1963): CV 2129 (Marvel 1963, 29 cached = #1-27, #32-33) and GCD 1572 (Marvel 1963-1994, 27) agree on publisher and #1-27; our #1-7, #12-27 (ComicInfo Series "Fantastic Four Annual", Count 33 x4; Web 29064 / 30691 / 33705 / 50681 = CV 2129's #21 / #22 / #24 / #26 issue ids) and the Complete Chronology second rips of #6 / #21-23 sit inside; 0.9 because GCD files #32 (2010) and #33 (2012) as a separate series, 67080 (2010-2012, 2), which CV keeps on 2129
N 103758 the ComicInfo Volume "1961" on four files names the parent FF; the per-file GCD 1482 (round2-series) on three files is the parent run, a folder stamp
I 79179 cv=223399 gcd=1206805 isbn=- 0.9 | "Fantastic Four Annual 032 (2010)" 45pp is Fantastic Four Annual #32 "A Little Stranger": CV 2129 #32 issue 223399 and GCD 67080 #32 row 1206805 (68pp, 2010-07-07) - GCD keeps #32-33 as its own 2010-2012 series; 0.9 for the page gap
I 79180 cv=345406 gcd=968258 isbn=- 0.9 | "Fantastic Four Annual 033 (2012)" 39pp is Fantastic Four Annual #33: CV 2129 #33 issue 345406 "Through a Dark Glass Paradoxically" and GCD 67080 #33 row 968258 (48pp, 2012-07-11)
I 92156 cv=345406 gcd=968258 isbn=- 0.9 | "001 Fantastic Four Annual 033 (2012)" 39pp, a Complete Chronology second rip of #33: CV 2129 #33 issue 345406 and GCD 67080 #33 row 968258 (48pp)

S 94596 cv=71949 gcd=79254 0.95 | Fantastic Four (2014-2015, Robinson): CV 71949 (Marvel 2014, 18 = #1-14 + legacy #642-645) and GCD 79254 (Marvel 2014-2015, 18) agree on publisher, span and count; our four trades Vol. 01-04 (GCD 90316 TPB line rows 1429326-1429329, roll-ups s79254 #1-5 / #6-10 / #11-14 / #642-645) are this run's own editions and the Original Sin tie-ins #6-8 (joined from S64669 in P-062) sit inside
N 94596 the key "Fantastic Four v1 (2015)" is Vol. 04's folder name ("09 Fantastic Four v1 (2015)"), not a second run; the per-file CV 2045 on two files is a number stamp
I 79777 cv=463681 gcd=1429326 isbn=978-0-7851-5474-7 0.95 | "Fantastic Four Vol. 01 - The Fall of the Fantastic Four (2014)" 111pp = CV 76675 issue 463681 "Volume 1" and GCD 90316 #1 row 1429326 (132pp, 2014-08-27) - adds the CV id C-044 lacked
I 79778 cv=470104 gcd=1429327 isbn=978-0-7851-5475-4 0.95 | "Fantastic Four Vol. 02 - Original Sin (2014)" 103pp = CV 78120 issue 470104 "Volume 2" and GCD 90316 #2 row 1429327 (116pp, 2014-11-12)
I 79779 cv=486428 gcd=1429328 isbn=978-0-7851-9220-6 0.95 | "Fantastic Four Vol. 03 - Back in Blue (2015)" 111pp = CV 81404 issue 486428 "Volume 3" and GCD 90316 #3 row 1429328 (124pp, 2015-04-15)
I 79995 cv=492707 gcd=1429329 isbn=978-0-7851-9744-7 0.95 | "Fantastic Four Vol. 04 - The End is Fourever (2015)" 136pp = CV 82764 issue 492707 "Volume 4" and GCD 90316 #4 row 1429329 (124pp, 2015-06-24)

S 103757 cv=112685 gcd=127448 0.95 | Fantastic Four (2018-2022, Slott): CV 112685 (Marvel 2018, 48 cached) and GCD 127448 (Marvel 2018-2022, 48) agree on publisher, span and count; our eleven trades Vol. 01-11 (GCD 141720 rows, each roll-up in s127448 - #1-4 on Vol. 01), "006 - Director's Cut (2019)", the event-filed #10, #21-23, #29-30, #47-48 (joined from S64669 in P-062) and the two 1pp Mike Mayhew covers of #1 (2018) are all this run
F 103757 needs-fetch cv=112685 | Fantastic Four (2018) CV 112685 is still named from the rip with no CvVolume row
