# R-050 — revisit of the split lane's P-011 (second part): the Spider-Man bucket S16072 emptied into seven join
# targets (2099 Classic, Dezago/Wieringo, Spider-Man 1990, Death of the Stacys, the Dan Slott line, Spectacular, Ultimate
# 2000) and eleven new keys (1602, the Peter David 2099 trade line, 2099 2014 covers, Exodus, Dark Genesis, Annual 2019,
# One Moment in Time, Black and Blue and Read All Over, 2099 Meets Spider-Man, the Michelinie & Bagley Omnibus, Spider-Man
# 2016), the kept Ultimate Spider-Man 2024 half, and four revisits (Zombie Tramp, the Ra's al Ghul chapters, FF by Ryan
# North, Geronimo Stilton). Every split-reader id re-probed with lookup.py --id / --issues / --gcd-issues / --collects /
# --who-stores; all confirmed. Convention seen: on ONE-BOOK shelves that reprint a single stretch of one run (Dezago &
# Wieringo, Death of the Stacys, One Moment in Time) the landed precedent keeps the book's own record as the S and states
# the run on a C line — the run-over-line ruling would instead fold each into a legacy shelf that is itself R + split.

# ================= Spider-Man 2099 =================
S 16131 cv=18354 gcd=4477 0.9 | Spider-Man 2099 (1992-1996): the #39-46 floppies (ComicInfo Volume 1992 on 8) and the Classic Vol. 01-04 trades whose GCD rows reprint s4477 #1-10, #11-14, #15-22, #23-33, and Omnibus Book 01 (s4477 #1-46) = the stored CV 18354 (Marvel 1992, 46) = GCD 4477 (Marvel 1992-1996, 46); the split JOINED Classic Vol. 02-04; residue = Omnibus Book 02 (the 2014 + 2015 runs), two rips of the 2015 line's Vol. 05 and the 2019 vs. Venom 2099 book, so 0.9
C 52135 cv=85312 gcd=93077 #22-25 0.95 | Vol. 07 Back to the Future, Shock! reprints Spider-Man 2099 (Marvel 2015-2017, 25; CV 85312 / GCD 93077) #22-25 per GCD row 1737139
S 103770 cv=75557 gcd=81678 0.9 | split-reader ids CONFIRMED: two 1pp Skottie Young variant covers of "Spider-Man 2099 001 (2014)" = the 2014 run CV 75557 (Marvel 2014, 12, #1 issue 459176) = GCD 81678 (Marvel 2014-2015, 12); the filename's title, number and year name the run on both legs; only covers, so 0.9
F 103770 partial-rip | both files are 1pp variant-cover scans of #1; no interior page of the 2014 run is on this shelf
F 103770 needs-fetch cv=75557 | Spider-Man 2099 (2014) is named from the rip and has no CvVolume row
S 103772 cv=148948 gcd=191852 0.95 | split-reader ids CONFIRMED: "Spider-Man 2099 - Exodus (2022)" 182pp = the TPB's own record CV 148948 (issue 978399 "TPB") = GCD 191852 (row 2446266, 188pp); it gathers Exodus Alpha + #1-5 + Omega, three records, so the book is its own identity; the 5-issue mini CV 143301 / GCD 185566 is the C line
I 53936 cv=978399 gcd=2446266 isbn=978-0-7851-9477-4 0.95 | the TPB's own records: CV 148948 issue 978399 and GCD 191852 row 2446266 (188pp vs our 182pp)
C 53936 cv=143301 gcd=185566 #1-5 0.9 | the TPB collects the Spider-Man 2099: Exodus mini (Marvel 2022, 5; CV 143301 / GCD 185566) #1-5 — the judged range #1-5 — besides Exodus Alpha and Omega
F 103772 needs-fetch cv=148948 | Spider-Man 2099: Exodus (TPB) is named from the rip and has no CvVolume row
S 103771 cv=150027 gcd=200232 0.95 | split-reader ids CONFIRMED: "Spider-Man 2099 - Dark Genesis (2023)" 121pp, judged #1-5, is the trade of the 5-issue mini CV 150027 (Marvel 2023, 5, "Dark Genesis Part 1-V") = GCD 200232 (Marvel 2023, 5); the run wins, the TPB records CV 153353 / GCD 203623 go on the I line
I 53937 cv=1012287 gcd=2566019 isbn=978-1-302-95223-5 0.95 | the TPB's own records: CV 153353 issue 1012287 ("TPB", 2023-09) and GCD 203623 row 2566019 (124pp vs our 121pp)
F 103771 needs-fetch cv=150027 | Spider-Man 2099: Dark Genesis is named from the rip and has no CvVolume row
S 103769 cv=19685 gcd=5298 0.95 | split-reader ids CONFIRMED: "Spider-Man 2099 Meets Spider-Man (1995)" 45pp = the one-shot CV 19685 (Marvel 1995, 1, issue 118062) = GCD 5298 (Marvel 1995, 1, row 58176 52pp); per-file CV 43261 is Panini France's Spider-Man stamp
I 95729 cv=118062 gcd=58176 0.95 | the one-shot's own records: CV 19685 issue 118062 (1995-11) and GCD 5298 row 58176 (52pp vs our 45pp)
F 103769 needs-fetch cv=19685 | Spider-Man 2099 Meets Spider-Man is named from the rip and has no CvVolume row

# ================= Spider-Man one-books and runs =================
S 16178 cv=101637 gcd=114316 0.95 | two rips of "Spider-Man by Todd Dezago & Mike Wieringo v01 (2017)" (446pp; the split JOINED the second) = CV 101637 (Marvel 2017, 1, issue 597202) = GCD 114316 "... and Mike Wieringo" (2017, 1); the book reprints The Sensational Spider-Man (1996) #7-24 (GCD row 1704703) — stated on the C lines
I 93763 cv=597202 gcd=1704703 0.9 | CV 101637 issue 597202 and GCD 114316 row 1704703 (460pp) both name this book
I 94898 cv=597202 gcd=1704703 0.9 | second rip (446pp) of the same book: CV issue 597202 and GCD row 1704703
C 93763 cv=5788 gcd=5557 #7-24 0.95 | the book reprints The Sensational Spider-Man (Marvel 1996-1998, CV 5788 / GCD 5557) #7-24 per GCD row 1704703
C 94898 cv=5788 gcd=5557 #7-24 0.95 | second rip: reprints The Sensational Spider-Man (Marvel 1996-1998, CV 5788 / GCD 5557) #7-24 per GCD row 1704703
S 99972 cv=4421 gcd=4049 1.0 | the collection asserts it: two files carry ComicInfo Series "Spider-Man cvv4421" and Count 98, and CV 4421 "Spider-Man" (Marvel 1990, 100) pairs with GCD 4049 (Marvel 1990-1998, 100, per-file on 61/66); the split JOINED #-1, #16, #25, #61, #72 (duplicate rips from event folders); the McFarlane Complete Collection and Torment (judged #1-16, #1-5) are the run's own edition
I 95951 cv=837521 gcd=- 0.9 | "Spider-Man by Todd Mcfarlane - The Complete Collection (2021)" 406pp, judged #1-16 = CV 134430 issue 837521; GCD carries no row for it
I 95952 cv=171748 gcd=s32296 0.95 | "Spider-Man Vol. 01 - Torment (1990)" 114pp, judged #1-5 = CV 28017 issue 171748 and GCD series 32296, both Marvel 1992 count 1
S 16089 cv=33398 gcd=27784 0.95 | two rips of "Spider-Man - Death of the Stacys (2007)" (157/145pp; the split JOINED the Major Event Chronology rip) = CV 33398 (Marvel 2007, 1, issue 216545) = GCD 27784 (Marvel 2007, 1, row 394243 168pp); a themed reprint of non-contiguous Amazing Spider-Man issues, so the book's own record stands (C line for the run)
I 94003 cv=216545 gcd=394243 isbn=0-7851-2504-3 0.95 | the TPB's own records: CV 33398 issue 216545 and GCD 27784 row 394243 (168pp vs our 157pp)
I 116306 cv=216545 gcd=394243 isbn=0-7851-2504-3 0.95 | second rip (145pp) of the same TPB: CV issue 216545 and GCD row 394243
C 94003 cv=2127 gcd=1570 #88-90 0.9 | the book reprints The Amazing Spider-Man (1963) #88-90 (the Captain Stacy death arc; CV 2127 caches #88 "The Arms of Doctor Octopus!" .. #90 "And Death Shall Come") — the start of the judged #88-122
N 94003 the judged range #88-122 widens across a gap: Death of the Stacys also reprints Amazing Spider-Man #121-122 (Gwen Stacy's death); per the gap ruling only #88-90 is stated as the C
S 4752 cv=2127 gcd=11288 0.9 | the Dan Slott line: seventeen trades that each reprint ONE stretch of the legacy Amazing Spider-Man #546-700 (GCD rows name s11288 #559-563 .. #692-697), and the split JOINED Vol. 01 / 02 (Brand New Day Vol. 01-02) and Vol. 32 Dying Wish = the run CV 2127 (Marvel 1963 hull, #1-700.5) / GCD 11288 (1999 series with #500-700); R-045's reading stands; S64133 (the legacy shelf) is now R + split-needed, so R-045's merge-with remains the lead's to land
I 93907 cv=198667 gcd=858684 isbn=9780785128434 0.9 | "Dan Slott Spider-Man Vol. 01 - Brand New Day Vol. 01" 196pp = CV 31706 "Spider-Man: Brand New Day" #1 issue 198667 ("Volume 1") = GCD 59908 #1 row 858684 (200pp)
I 93908 cv=198668 gcd=858685 0.9 | "Vol. 02 - Brand New Day Vol. 02" 167pp = CV 31706 #2 issue 198668 ("Volume 2") = GCD 59908 #2 row 858685 (172pp)
I 93909 cv=198669 gcd=1070757 0.9 | "Vol. 03 - Brand New Day Vol. 03" 127pp = CV 31706 #3 issue 198669 ("Volume 3"); GCD row 1070757 reprints s11288 #559-563 (GCD 59908 #3, row 1070753, is a twin printing)
I 93910 cv=- gcd=2267354 0.9 | "Vol. 04 - Kraven's First Hunt" = GCD row 2267354, which reprints s11288 #564-567 + Brand New Day - Extra #1
I 93911 cv=198664 gcd=2384608 0.9 | "Vol. 05 - New Ways To Die" = CV 31703 issue 198664 and GCD row 2384608 (reprints #568-573)
I 93912 cv=- gcd=2729480 0.9 | "Vol. 07 - Death and Dating" = GCD row 2729480, reprinting s11288 #578-583 + the 2008 Annual
I 93913 cv=- gcd=2656521 0.9 | "Vol. 09 - 24-7" = GCD row 2656521, reprinting s11288 #589-594
I 93914 cv=- gcd=2127405 0.9 | "Vol. 11 - Died In Your Arms Tonight" = GCD row 2127405, reprinting s11288 #600-601 + Annual #36
I 93916 cv=- gcd=2775144 0.9 | "Vol. 14 - The Gauntlet Vol. 01 - Electro and Sandman" = GCD row 2775144 (Spider-Man: The Gauntlet #1), reprinting s11288 #612-616 — the "another book" warning only reflects our "Dan Slott" prefix
I 93917 cv=- gcd=2775610 0.9 | "Vol. 15 - The Gauntlet Vol. 02 - Rhino and Mysterio" = GCD row 2775610 (Spider-Man: The Gauntlet #2), whose partial index reprints s11288 #619
I 93921 cv=- gcd=1108253 0.9 | "Vol. 22 - Big Time" = GCD row 1108253 (Spider-Man: Big Time), reprinting s11288 #648-651
I 93923 cv=- gcd=2724338 0.9 | "Vol. 24 - The Fantastic Spider-Man" = GCD row 2724338, reprinting s11288 #658-662
I 93924 cv=- gcd=2722680 0.9 | "Vol. 25 - The Return of Anti-Venom" = GCD row 2722680, reprinting s11288 #663-665 + FCBD 2011
I 93925 cv=- gcd=2281283 0.9 | "Vol. 26 - Spider-Island" 390pp = GCD row 2281283, reprinting s11288 #666-673 + Venom #6-9 + the Spider-Island one-shots
I 93926 cv=- gcd=2350381 0.9 | "Vol. 27 - Flying Blind" = GCD row 2350381 (Spider-Man: Flying Blind), reprinting s11288 #674-677 + Daredevil #8
I 93928 cv=- gcd=2355985 0.9 | "Vol. 28 - Trouble On The Horizon" = GCD row 2355985, reprinting s11288 #678-681 incl. #679.1
I 93929 cv=- gcd=2360649 0.9 | "Vol. 30 - Lizard - No Turning Back" = GCD row 2360649, reprinting s11288 #688-691 + Untold Tales #9
I 93930 cv=- gcd=2016543 0.9 | "Vol. 31 - Danger Zone" 202pp = GCD row 2016543, reprinting s11288 #692-697 + Avenging Spider-Man #11
I 93931 cv=391252 gcd=- 0.9 | "Vol. 32 - Dying Wish" = CV 58601 "The Amazing Spider-Man: Dying Wish" issue 391252
S 19654 cv=2870 gcd=2359 0.9 | Peter Parker, the Spectacular Spider-Man (1976-1998): ladder 1-263 (ComicInfo Volume 1976 on 55, Count 263) = the stored CV 2870 = GCD 2359 (Marvel 1976-1998, 265); the split JOINED "Spider-Man Vol. 01 - Tombstone" (367pp, GCD row 1575786 reprints s2359 #137-150) — the run's own edition like the Omnibus Book 01 (s2359 #1-42); residue = the Spectacular Spider-Man Annual #1-14 (a separate annual series), so 0.9
I 95948 cv=531900 gcd=1575786 0.95 | "Spider-Man Vol. 01 - Tombstone (2016)" 367pp = CV 90722 issue 531900 ("TPB") = GCD 102633 row 1575786 "Tombstone" (372pp)
I 95949 cv=1079766 gcd=2456778 0.9 | "The Spectacular Spider-Man Omnibus Book 01 (2022)" 918pp = CV 161379 issue 1079766 = GCD 193052 row 2456778 (940pp); GCD mints a twin row 2457410
N 19654 residue on this shelf: the Spectacular Spider-Man Annual #1-14 (CV 3012 / GCD 2518) and the 2022 Facsimile #1 sit beside the run
S 20622 cv=7257 gcd=7825 0.9 | Ultimate Spider-Man (2000-2009): the split JOINED Vol. 01-06, #0.5, #1-7, #129-133, #153-155 covers, #200 and Omnibus Books 01-03 to the #132-133, #153-160 and Vol. 04-22 already here = the stored CV 7257 (Marvel 2000, 134) = GCD 7825 (Marvel 2000-2009, 133); seventeen judged trade ranges (#22-133) fit; residue = the 2009-11 Ultimate Spider-Man #153-160 are a second volume numbered on (GCD 38918) and the 2008 Annual #3, so 0.9
I 97095 cv=- gcd=2101339 0.9 | Vol. 01 "Power & Responsibility" = GCD 158816 row 2101339 (2009 printing, 208pp); reprints s7825 #1-7
I 97096 cv=236772 gcd=- 0.9 | Vol. 02 "Learning Curve" = CV 35782 issue 236772
I 97097 cv=236773 gcd=- 0.9 | Vol. 03 "Double Trouble" = CV 35783 issue 236773
I 97098 cv=- gcd=s32858 0.9 | Vol. 04 "Legacy", judged #22-27; GCD collected-edition line 32858
I 97099 cv=236877 gcd=- 0.9 | Vol. 05 "Public Scrutiny" = CV 35795 issue 236877
I 97100 cv=236884 gcd=2101340 0.9 | Vol. 06 "Venom" = CV 35802 issue 236884 and GCD 158817 row 2101340 (reprints s7825 #33-39)
I 97101 cv=- gcd=s32858 0.7 | Vol. 07 "Irresponsible", judged #40-45; the flagged CV rows are other editions (flag 510)
I 97102 cv=- gcd=s32858 0.9 | Vol. 08 "Cats and Kings", judged #47-53; GCD line 32858
I 97103 cv=- gcd=s32858 0.9 | Vol. 09 "Ultimate Six", judged #46; GCD line 32858
I 97104 cv=- gcd=s32858 0.9 | Vol. 10 "Hollywood", judged #54-59; GCD line 32858
I 97105 cv=- gcd=s32858 0.9 | Vol. 11 "Carnage", judged #60-65; GCD line 32858
I 97106 cv=- gcd=s32858 0.9 | Vol. 12 "Superstars", judged #66-71; GCD line 32858
I 97107 cv=- gcd=s32858 0.9 | Vol. 13 "Hobgoblin", judged #72-78; GCD line 32858
I 97108 cv=- gcd=s32858 0.9 | Vol. 14 "Warriors", judged #79-85; GCD line 32858
I 97109 cv=- gcd=s32858 0.9 | Vol. 15 "Silver Sable", judged #86-90; GCD line 32858
I 97110 cv=- gcd=s32858 0.9 | Vol. 16 "Deadpool", judged #91-96; GCD line 32858
I 97111 cv=- gcd=s32858 0.9 | Vol. 17 "Clone Saga", judged #97-105; GCD line 32858
I 97112 cv=- gcd=s38918 0.9 | Vol. 18 "Ultimate Knights", judged #106-111; GCD series 38918
I 97113 cv=- gcd=s38918 0.9 | Vol. 19 "Death of a Goblin", judged #112-117; GCD series 38918
I 97114 cv=- gcd=s38918 0.9 | Vol. 20 "And His Amazing Friends", judged #118-122; GCD series 38918
I 97115 cv=- gcd=s38918 0.9 | Vol. 21 "War of the Symbiotes", judged #123-128; GCD series 38918
I 97116 cv=- gcd=s38918 0.9 | Vol. 22 "Ultimatum", judged #129-133; GCD series 38918
I 97129 cv=342230 gcd=1139852 0.9 | Omnibus Book 01 = CV 49871 #1 issue 342230 and GCD 76302 row 1139852 (reprints s7825 #1-39)
I 97130 cv=984882 gcd=2481451 0.9 | Omnibus Book 02 = CV 49871 #2 issue 984882 and GCD 76302 row 2481451 (reprints s7825 #40-71 + Ultimate Six #1-7)
I 97131 cv=1033278 gcd=2585409 0.9 | Omnibus Book 03 = CV 49871 #3 issue 1033278 and GCD 76302 row 2585409 (reprints s7825 #72-111 + Annual #1-2)
C 97130 cv=19405 gcd=18989 #1-7 0.95 | Omnibus Book 02 also reprints Ultimate Six (Marvel 2003-2004, 7 issues; CV 19405 / GCD 18989) #1-7 per GCD row 2481451
C 97131 cv=18223 gcd=18910 #1-2 0.95 | Omnibus Book 03 also reprints Ultimate Spider-Man Annual (Marvel 2005-2008, 3; CV 18223 / GCD 18910) #1-2 per GCD row 2585409
C 97103 cv=19405 gcd=18989 #1-7 0.9 | Vol. 09 "Ultimate Six" (174pp, judged #46 of the run) is the trade of the Ultimate Six crossover mini (Marvel 2003-2004, 7; CV 19405 / GCD 18989) #1-7 plus USM #46
S 103766 cv=28515 gcd=43800 0.95 | split-reader ids CONFIRMED: "Spider-Man 1602 001-005 (2009-2010)" in "Marvel 1602\04 Marvel 1602 - Spider-Man (2009)" = CV 28515 (Marvel 2009, 5, "The Web Complete: Chapter 1-5") = GCD 43800 (Marvel 2009-2010, 5); ladder 1-5 fills both; per-file CV 43261 is Panini France's stamp
F 103766 needs-fetch cv=28515 | Spider-Man 1602 is named from the rip and has no CvVolume row
S 103773 cv=119874 gcd=148424 0.95 | split-reader ids CONFIRMED: "Spider-Man Annual 001 (2019)" 33pp (ComicInfo Series "Spider-Man Annual", Volume 2019) = CV 119874 (Marvel 2019, 1, issue 712545) = GCD 148424 (Marvel 2019, 1, row 1980772 40pp)
I 95827 cv=712545 gcd=1980772 0.95 | the annual's own records: CV 119874 issue 712545 and GCD 148424 row 1980772 (2019-06, 40pp vs our 33pp)
F 103773 needs-fetch cv=119874 | Spider-Man Annual (2019) is named from the rip and has no CvVolume row
S 103779 cv=- gcd=75393 0.9 | split-reader id CONFIRMED: "Spider-Man - One Moment In Time (2011)" 155pp = GCD 75393 (Marvel 2011, 1, row 1128064 156pp, ISBN 978-0-7851-4620-9 — the TPB; the 2010 HC is GCD 67151 with notes "Amazing Spider-Man #638-641"); ComicVine has no record under the title; one leg plus our page count and year; the run it reprints is on the C line
I 93755 cv=- gcd=1128064 isbn=978-0-7851-4620-9 0.9 | the TPB's own record: GCD 75393 row 1128064 (2011-04, 156pp vs our 155pp); no CV record
C 93755 cv=2127 gcd=11288 #638-641 0.95 | the book reprints The Amazing Spider-Man #638-641 (CV 2127 caches #638 "One Moment In Time Chapter One" .. #641 "Chapter Four"; GCD 11288, the 1999 series with #500-700) — the judged #638-641 and GCD 67151's note agree
S 103774 cv=- gcd=22368 0.9 | split-reader id CONFIRMED: "Spider-Man Special - Black and Blue and Read All Over (2006)" 43pp = the one-shot GCD 22368 (Marvel 2006, 1, row 342360 52pp); ComicVine has no record under the title; one leg plus our title, year and page count
I 93767 cv=- gcd=342360 0.9 | the one-shot's own record: GCD 22368 row 342360 (2006-09, 52pp vs our 43pp); no CV record
S 103775 cv=158916 gcd=213175 0.9 | split-reader ids CONFIRMED: "Spider-Man by David Michelinie & Mark Bagley Omnibus Book 01 (2024)" 1022pp = CV 158916 (Marvel 2024, 2, "Volume 1-2") = GCD 213175 (Marvel 2024-?, 2, #1 row 2637789 1048pp); the omnibus reprints Amazing Spider-Man #351-375 plus annuals of four series, so the line is its own identity (C line for the main run)
I 95793 cv=1063412 gcd=2637789 isbn=978-1-302-95691-2 0.95 | Book 01's own records: CV 158916 #1 issue 1063412 (2024-07-17) and GCD 213175 #1 row 2637789 (1048pp vs our 1022pp)
C 95793 cv=2127 gcd=1570 #351-375 0.95 | Book 01 reprints The Amazing Spider-Man (1963) #351-375 (CV 2127 caches #351 "Three Faces Of Evil!" .. #375 "The Bride Of Venom"; GCD 1570) per GCD row 2637789
F 103775 needs-fetch cv=158916 | Spider-Man by Michelinie & Bagley Omnibus is named from the rip and has no CvVolume row
S 103778 cv=87820 gcd=96682 0.95 | split-reader ids CONFIRMED: "Spider-Man 006-010 (2016-2017)" in the Civil War II tie-ins folder = the Miles Morales Spider-Man CV 87820 (Marvel 2016, 28) = GCD 96682 (Marvel 2016-2018, 28, per-file on 5/5); ladder 6-10 sits inside both
F 103778 needs-fetch cv=87820 | Spider-Man (2016) is named from the rip and has no CvVolume row
S 16072 cv=155969 gcd=206726 0.95 | the KEPT half is Ultimate Spider-Man (2024): #7-13 (2024-2025, Shan-Empire) and 53 1pp variant covers of #1-13 in "Ultimate Spider-Man v3 (2024)" = CV 155969 (Marvel 2024, 22+) = GCD 206726 (Marvel 2024-2026, 24); ladder 1-13 sits inside both, counts above our holdings on a running series are staleness, covers cost nothing; per-file CV 43261 and GCD 197254/217058/217059 are Panini stamps
F 16072 needs-fetch cv=155969 | Ultimate Spider-Man (2024) is named from the rip and has no CvVolume row

# ================= revisits =================
S 22811 cv=100546 gcd=113304 0.95 | the shelf is ONE live book: item 5994 "Zombie Tramp Easter Special (2017)" 26pp in "Zombie Tramp v3 (2014)\Annuals and Specials" = CV 100546 "Zombie Tramp: Easter Special" (Action Lab 2017, 1, issue 590682) = GCD 113304 "Zombie Tramp Easter Special 2017" (Action Lab 2017, 1, row 1689489); flag 116 is dismissed and the other item 5672 (Vol. 01, 2013) is EXCLUDED, so it is not residue here; --who-stores cv=100546: no other Series
I 5994 cv=590682 gcd=1689489 0.95 | the special's own records: CV 100546 issue 590682 (2017-04) and GCD 113304 row 1689489 (2017-04-05)
N 22811 excluded item 5672 "Zombie Tramp Vol. 01 (2013)" 129pp is, per the split reader, GCD 116606 row 1732722 / CV 66647 issue 422846 — the trade of the pre-Action Lab material; it lands nowhere while excluded
R 19456 | the three files are chapters of two different runs, not one: "03 838_…part_3" and "07 839_…part_7" are Detective Comics #838 and #839 (S5409, CV 18058 / GCD 87) and "04 671_…part_4" is Batman #671 (S64223, CV 796 / GCD 141); the per-file CV 31003 is the 2008 collected edition (another shelf), so no one identity fits
